[0.98-2.26] 哈喽 大家好
[2.26-3.82] 怎么样 像不像小熊
[3.82-7.32] 把罗纳德的这个小熊帽子
[213.26-214.62] 这这哪有八字啊
[214.62-215.70] 这叫凶打击
[216.90-219.00] 老王身材还是不错的
[219.00-221.22] 那诶
[221.22-222.88] 扯哪儿去扯
[222.88-229.14] 让我们在破产重组破产重整破产清算这个话题之前
[229.14-231.00] 先脑补跟着我脑补一个画面
[231.00-232.30] 大家都知道我是动漫迷
[232.30-233.82] 我是好莱坞迷
[233.82-236.28] 跟我脑补这个画面脑补不出来
[236.28-237.12] 脑补不出来出去
[237.12-240.00] 不要听我讲课出去
[240.00-241.56] 你那人生有什么意思啊
[241.56-242.94] 星球大战看吗
[242.94-244.68] 星球大战不看你还活着吗
[244.68-245.64] 赶紧去补
[245.64-246.96] 不要看我视频了
[246.96-252.12] 立刻马上从星球大战一直补完啊
[252.12-254.88] 星球大战到目前大概拍了八部了吧
[254.88-255.66] 七部还是八部
[255.66-256.84] 你们都去看完
[256.84-258.72] 星球大战第七部
[259.86-263.40] 星球大战第七部中文叫原力觉醒
[264.78-266.00] 他的
[266.00-267.10] 一个特别重要的东西是什么呢
[267.12-271.50] 在这个著名的镜头有一个苍凉的拾荒者星球
[271.50-273.48] 这个星球是在宇宙的边缘
[273.48-276.44] 这个星球叫甲酷星
[276.44-278.28] 甲酷星呢
[278.28-282.18] 它是一个被宇宙遗忘的角落
[282.18-287.58] 曾经在这个甲酷星周围进行过一场世纪大战
[287.58-289.98] 就是星球大战世界的世纪大战
[289.98-293.86] 在这里抵抗者就是莱雅公主
[293.86-295.86] 他们这些共和国
[295.86-297.30] 击败了银河帝国
[297.30-298.68] 就是达斯维达斯
[298.68-301.08] 达斯维达斯的尖星舰舰队
[301.08-303.68] 大量的坠毁在了这个甲酷星上
[304.74-306.12] 所以甲酷星呢
[306.12-309.30] 有很多的拾荒者在这一部里面
[309.30-310.62] 一个特别经典的画面
[310.62-313.56] 就是一个占满了整个屏幕
[313.56-319.62] 整个背景区天际线的一艘巨大无比的飞船残骸扎在地下
[319.62-320.82] 那个是帝国尖星舰
[320.82-321.42] 非常大
[322.34-325.72] 然后在前面有一个叫瑞
[325.86-327.72] 这个女孩白人女孩
[327.72-330.42] 她是她是捡破烂的
[330.42-336.42] 然后她身边有一个小机器人叫BB8
[336.42-338.88] 他们两个出现在这个画面上特别温馨
[338.88-340.56] 这就相当于一个人带着他的爱犬
[340.56-344.22] 那个一样的内容在这里边生活
[345.96-348.06] 我为什么让你们首先脑补这个画面
[349.80-351.82] 一惊落万物生
[351.82-354.74] 帝国尖星舰就是恒大集团
[354.74-355.62] 所有的
[355.86-356.76] A股也好
[356.76-357.42] 港股也好
[357.42-358.86] 美股也好
[358.86-362.62] 所有的上市公司破产清算
[362.62-363.78] 在这个过程中
[364.92-367.80] 大家首先要建立起第一个概念
[369.00-372.60] 这个不是一个game over的过程
[372.60-376.02] 这是一惊落万物生的过程
[376.02-382.86] 帝国尖星舰庞大的金属高科技扎进这个地球
[382.86-385.72] 砸进甲酷星
[385.72-386.74] 从此
[386.74-390.34] 有无数的生命围绕这个江兴建
[390.34-391.90] 今天拆他一个发动机
[391.90-393.52] 明天拆他一个光子炮
[393.52-395.44] 后天拆了一组芯片
[395.44-399.58] 大后天拆他一组什么反物质电池啊
[399.58-401.86] 都可以卖钱的
[401.86-402.94] 明白吧
[402.94-403.96] 听明白了没有
[405.10-410.74] 很多人是要通过这个发财致富的老王
[410.74-412.18] 老王来的老粉丝
[412.18-413.86] 三千铁粉一定知道
[413.86-416.44] 我在开始那几期视频里边
[416.44-417.52] 我埋了一个雷
[417.52-418.90] 今天就给你们填上
[420.20-422.32] 我埋的是这样一个雷
[422.32-427.30] 我说当中国经济蓬勃发展的时候
[427.30-429.40] 就像我们那个时代电梯往上走的时候
[429.40-431.38] 是有有的是赚钱的机会的
[431.38-433.54] 但是我老王会告诉你们
[433.54-434.86] 当经济坠毁的时候
[434.86-437.20] 一样有赚大钱的机会
[437.20-438.84] 今天听完了这一期
[438.84-441.48] 你就知道怎么去赚这个大钱
[441.48-442.98] 即使你没有这个机会
[442.98-446.02] 你也知道是谁在赚这个大钱好了
[446.44-451.12] 今天我破天荒做了一个备课提纲
[451.12-452.70] 从百度网上
[452.70-455.74] 谷歌网上打了破产的标准流程
[455.74-459.76] 我按照这个破产程序的标准流程给你们上课啊
[459.76-461.66] 这个标准流程你们就不用打了
[461.66-462.70] 为什么你们看不懂
[462.70-463.78] 因为他不是人话
[464.78-467.50] 他都是知乎者也一压栽
[467.50-468.70] 你就看不懂
[468.70-469.90] 不能让你看懂啊
[469.90-471.10] 让你看懂那些人
[471.10-473.44] 那些搞法律的搞投行的
[473.44-474.10] 他们吃什么
[474.10-474.24] 但是老王今天全都给你翻成人话了
[474.24-474.26] 但是老王今天全都给你翻成人话了
[474.26-474.28] 但是老王今天全都给你翻成人话了
[474.28-474.34] 但是老王今天全都给你翻成人话了
[474.34-477.20] 但是老王今天全都给你翻成人话啊
[477.20-477.88] 听好啊
[479.10-481.78] 破产重整基本流程和内容
[482.92-483.88] 标准吧啊
[485.44-489.84] 第一阶段破产受理指定管理人阶段翻译
[490.78-492.90] 讲清楚老太太必须能听懂啊
[492.90-495.04] 什么叫破产重整
[495.04-497.22] 他为什么不叫破产重组
[497.22-499.02] 他为什么不叫破产清算
[499.02-501.30] 他们之间有什么区别呢
[501.30-504.04] 一个大公司破产有两大类
[504.34-506.86] 破产清算或破产重组
[506.86-509.86] 破产重组和破产重整词不一样
[509.86-511.12] 意思差不多
[511.12-513.88] 所以你就理解成只有两种操作
[513.88-515.14] 一破产清算
[515.14-516.88] 二破产重整或重组
[518.08-520.52] 法律习惯条文是破产重整
[520.52-523.30] 我们就按破产重整来说整理的整
[525.46-526.66] 先说破产清算
[526.66-528.16] 破产清算是什么
[528.16-529.24] 给你翻一下
[529.24-530.68] 过不下去了
[530.68-532.18] 过不下去了
[532.18-534.32] 看过早事要官室之前
[534.34-537.22] 那些卖菜可怜的卖菜卖探翁
[537.22-538.22] 他们说什么
[538.22-539.96] 给点钱就卖了
[539.96-541.78] 不按金卖了
[541.78-543.18] 秤盘子已经收起来了
[543.18-545.10] 这一堆菜给一块钱拿走
[545.10-546.20] 这就叫破产清算
[546.20-548.94] 破产清算没有技术性可言
[548.94-551.16] 破产清算拿走
[551.16-551.78] 给点钱
[551.78-552.44] 不给钱
[552.44-552.88] 不给钱
[552.88-554.04] 您负责拉走
[554.04-554.82] 这叫破产清算
[554.82-555.34] 不过了
[555.34-557.98] 这种情况呢
[557.98-560.80] 一般适用于完全没有什么价值的企业
[560.80-562.58] 如果他是个上市公司
[562.58-563.90] 如果他还有很多
[564.34-566.52] 帝国兼兴建的资产
[566.52-570.04] 他走的一般都是破产重整这条道
[570.04-573.72] 所以今天我们将的讲的是破产重整
[573.72-580.30] 你们将看你们看到的中国上市公司破产状态下都是破产重整
[580.30-581.86] 能找到一个破产清算的
[581.86-584.68] 我算你牛几乎没有
[584.68-586.96] 为什么都整破产重整
[586.96-590.02] 因为第一个破产重整发明人
[593.38-594.88] 不是吹真的是别
[594.88-595.64] 别以为我平时
[595.66-597.04] 疯疯癫癫骂王志安
[597.04-597.46] 不是
[597.46-598.22] 我是封党
[598.22-601.22] 所以这次咱们接着咱们接着翻译啊
[601.22-606.42] 破产受理指定管理人阶段一启动破产重整程序
[606.42-611.74] 债权人或债务人向法院申请破产重整启动重整程序
[611.74-613.90] 企业破产法第七十条规定
[613.90-619.84] 债务人或者债权人可以依照本法直接向人民法院申请对债务人进行重整
[621.32-622.60] 说起来简单
[622.60-624.34] 翻译起来难
[624.34-625.24] 哪个法院
[625.66-626.86] 什么债权人
[626.86-627.76] 什么债务人
[627.76-628.72] 这是什么意思
[628.72-629.80] 人话是什么意思
[629.80-631.06] 债务人就是债务人
[631.06-632.14] 就是恒大明白
[632.14-633.64] 今天我们就拿恒大做例子
[633.64-634.80] 债务人就是恒大
[634.80-635.66] 混不下去了
[635.66-637.04] 恒大港股
[637.04-638.38] 这就是债务人
[638.38-640.66] 恒大集团就是他欠了钱
[640.66-641.20] 拉鸡晃
[641.20-641.98] 这叫债务人
[641.98-643.36] 债权人是什么
[643.36-648.66] 所有的房主包括郑州那个那对小夫妻都叫债权人啊
[648.66-650.14] 不是说银行
[650.14-652.84] 他借了钱的银行才叫债权人
[652.84-661.90] 所有的包括他经营性的盖房子过程中没交钥匙的收了人家钱的这些商业对手全叫他的债权人
[661.90-664.24] 债权人可不是狭义的金融债权人
[664.24-665.50] 而是广义的
[665.50-669.84] 只要在跟恒大集团在跟这个王八蛋王八犊子
[671.44-674.84] 做生意过程被他坑了的心里骂他的我操
[674.84-677.20] 你欠我钱的全是债权人
[678.28-680.20] 那人民法院是什么
[680.20-681.28] 香港咱们就不说了
[681.28-682.72] 香港法院跟人民法院
[682.84-683.50] 不太一样
[683.50-684.64] 但是呢
[684.64-685.48] 大同小异
[685.48-688.72] 因为我们中国是按港和美抄的
[688.72-690.56] 就是咱们是抄作业的小秘密
[690.56-691.94] 所以其实大家也差不多
[691.94-693.90] 我就按中国大陆来讲啊
[693.90-695.02] 法院指的是什么
[695.02-696.52] 按照破产法来讲
[696.52-699.34] 法院上市公司类的
[699.34-703.96] 但凡他是上市公司的一定要终极人民法院是啥意思啊
[703.96-707.40] 比如说咱们在北京你海淀区法院就不行
[707.40-709.54] 你昌平区法院就不行
[709.54-712.54] 你比如说你是个地级是你那个区法院更不行
[712.54-714.30] 因为你比直辖市还要低一级
[715.40-717.04] 那么在北京
[717.04-721.78] 在北京是哪个法院包揽所有上市公司的
[721.78-722.82] 所有的啊
[722.82-725.86] 只要他注册地点在北京各区县的
[725.86-730.06] 只要他无论他是在门头沟还是在丰台
[730.06-731.94] 还是在同州
[731.94-733.96] 他只要破产了
[733.96-735.40] 只要他是上市公司
[735.40-738.42] 无论护身经哪个板块上市公司
[738.42-741.78] 他必须去石井山北京市第一中级人民法院
[742.54-744.22] 破产厅申请
[744.22-747.70] 其他任何人民法院无权受理
[747.70-749.54] 带老百姓股票的
[749.54-750.60] 明白吗
[750.60-751.64] 为什么
[751.64-752.46] 为什么
[752.46-754.44] 因为是我帮他们弄的
[754.44-755.86] 之前没有这个规定
[755.86-757.38] 之前中级人民法院
[757.38-762.26] 到底界定为哪一级叫中级人民法院
[762.26-764.22] 省地级市很清楚
[764.22-766.88] 地级市人民法院就中级市人民法院
[766.88-768.60] 比如说我们举个例子
[768.60-769.34] 洛阳的话
[769.34-770.48] 洛阳中级人民法院
[770.48-771.80] 就洛阳市中级人民法院
[771.80-772.52] 就是那个中级人民法院
[772.54-773.72] 但北京不是
[773.72-775.92] 北京它直辖市
[775.92-776.94] 那你理论上来说
[776.94-778.90] 海淀区相当于洛阳市
[778.90-779.64] 对不对
[779.64-781.02] 所以是不是海淀区
[781.02-785.08] 门头沟区法院也有受理上市公司重整的资格呢
[785.08-787.00] 显然他们没有这个能力
[787.00-788.02] 你想对不对
[788.02-792.78] 因为海淀区法院还算相对经济类的案件多一些
[792.78-793.86] 你像门头沟啊
[793.86-795.72] 什么颜庆啊
[795.72-797.92] 他这个法院没干过这个事
[797.92-799.42] 他这法院都是打什么官司
[799.42-800.26] 离婚呀
[800.26-802.00] 什么告状啊
[802.00-803.14] 他干这个的
[803.14-805.16] 他哪处理过上市公司破产
[805.16-806.64] 他没有这个能力
[806.64-808.54] 法官的水平
[808.54-809.26] 裁决水平
[809.26-809.88] 他不到
[809.88-811.42] 他不是金融专业的
[811.42-815.68] 所以当时在北京市法院开这个会的时候
[815.68-820.00] 协调会的时候就统一指定入了北京市第一中级人民法院
[820.00-824.80] 并且在这个第一中级人民法院的这个执行副院长的直接领导下
[824.80-826.60] 专门设置了一个厅
[826.60-828.82] 民事厅叫破产厅
[828.82-830.56] 跟以前的民厅分开了
[830.56-833.74] 专门处理这种事情
[833.74-834.58] 上海市
[834.58-837.22] 深圳市一同比
[837.22-840.70] 在各个普通地级市啊
[840.70-843.80] 就是除了这几个直辖市之外
[843.80-844.72] 普通地级市
[844.72-846.46] 那就是这个市的中级人民法院
[846.46-847.90] 就是受理法院
[847.90-849.64] 你找他们就对了
[849.64-851.32] 你不要找别的啊
[851.32-854.32] 你不要找小法院没有用啊
[854.32-855.16] 他管不了
[855.16-856.00] 明白吧
[856.00-857.08] 所以受理无门
[857.08-857.56] 这是第一
[858.74-859.12] 第二
[859.12-859.96] 他这个说什么
[859.96-861.52] 叫启动破产程序
[861.52-863.92] 他说债权人或债务人向法院申请
[863.92-866.12] 这个说的太笼统了
[866.12-869.72] 具体操作的时候一定一定啊
[869.72-872.38] 当然你要是又来了个杠精
[872.38-874.26] 人类以前生活在海洋里的啊
[874.26-878.26] 所以虎精知道今天还记DNA剂不吃人
[878.26-878.74] 为什么呢
[878.74-881.50] 因为人类和虎精过去是朋友
[881.50-885.16] 以前人类不叫人类叫叫也叫精叫杠精啊
[885.16-887.80] 所以你们就都是那个那个从海里出来的
[889.12-889.96] 基本上都是
[889.96-895.12] 就是债务人就是不是债权人不是债务人申请
[895.12-896.98] 债权人就是什么
[896.98-898.00] 你欠我钱不还了
[898.00-899.80] 我去法院告你
[899.80-902.68] 让你破产申请法院裁定你破产
[902.68-903.94] 还我钱还钱
[905.08-906.52] 变卖的东西
[906.52-909.40] 法官他他他有钱的不还我
[909.40-911.98] 我认为他已经以后没没希望还我了
[911.98-913.36] 你我你我把他封了
[913.36-915.04] 把他把他拍卖了
[915.04-919.18] 这就是欠钱的人就是被欠钱的人
[919.18-919.84] 债主
[919.96-921.52] 去申请
[921.52-923.80] 所以在我们实际操作中记住啊
[923.80-925.16] 在我们实际操作中
[926.54-927.04] 我们
[928.42-933.58] 瑞伊和BB8拾荒者一会儿现在拾荒者还没有登场
[933.58-935.32] 一会儿拾荒者会出现
[935.32-939.88] 拾荒者在真正的破产重整中真正一惊唠万物声
[939.88-949.18] 真正在国民经济走向摧毁的过程中赚钱的赚大钱的就是瑞伊和BB8
[949.18-954.80] 这些人在第一分钟就会出现
[954.80-960.61] 而不是这个破产法说的现在还没有登场
[960.61-964.39] 我出现我在恒大集团破产清算
[964.39-965.77] 他在香港清盘
[965.77-966.67] 我要吃什么
[966.67-968.71] 我要吃恒大物业
[968.71-971.63] 我要吃恒大在北京的这几个盘
[971.63-974.97] 或者恒大在郑州的那几个大盘
[974.97-976.69] 我觉得那几个盘可以
[976.69-978.53] 除了欠银行的钱还不了了
[978.53-979.63] 没任何毛病
[979.63-980.99] 那个盘地段
[980.99-982.15] 质量还有销售情况也不一样了
[982.57-983.71] 情况都没问题
[983.71-984.73] 我只要接下来
[985.73-987.81] 只要把银行的账抹了
[987.81-989.83] 这个盘子我收住
[989.83-991.93] 我包括底商和物业
[991.93-993.19] 我每年能挣两千万
[994.63-995.41] 我把它金融化
[995.41-996.43] 我拿两个亿回来
[996.43-997.19] 我为什么不干
[997.19-997.69] 明白吧
[997.69-999.13] 这是其中一个盘
[999.13-1001.05] 恒大在全国有多少
[1001.05-1001.47] 所以
[1002.55-1003.51] 拾荒者出来
[1003.51-1005.25] 拾荒者在第一时间会出来
[1005.25-1006.15] 拾荒者
[1007.17-1011.39] 就是那个恒大集团有没有瑞伊和BB8的拾荒者
[1012.57-1013.53] 你说呢
[1013.53-1014.55] 你说呢
[1014.55-1015.31] 就是干什么事
[1015.31-1016.47] 我不知道是谁啊
[1016.47-1017.51] 我我猜的啊
[1017.51-1019.23] 我我猜有有这个拾荒者
[1020.55-1023.45] 神秘拾荒者会先接一个债权
[1023.45-1025.83] 债权人就是先接一个
[1026.97-1027.95] 你看我当时做
[1027.95-1031.59] 我当时做就是先找一个民间债权人
[1031.59-1032.73] 你不要找银行去
[1032.73-1033.81] 你不要找国有的去
[1033.81-1035.07] 因为那玩意他也不好做账
[1035.07-1036.63] 另外他数太大
[1036.63-1038.79] 你找一个多少的债权人
[1038.79-1041.55] 你找他内部一查会计查
[1041.55-1042.51] 欠他一百万
[1042.51-1043.17] 那个是最好的
[1044.25-1047.07] 你想恒大集团欠多少人一百万吗
[1047.07-1048.87] 太容易了
[1048.87-1052.59] 就是郑州那个小孩都可以都不止一百万
[1052.59-1054.41] 因为他房子没交给他违约了
[1054.41-1055.39] 他就算债权人好了
[1055.39-1056.61] 就接过来
[1056.61-1058.11] 最好是现金债权人
[1058.11-1062.31] 比如说恒大欠上边有一个那个装修队给他装完了
[1062.31-1062.69] 装完了
[1062.69-1063.29] 修了
[1063.29-1064.63] 但是一直没有接工程款
[1064.63-1066.03] 这个装修队是个人的
[1066.03-1068.25] 这个人老板都快急死了
[1068.25-1071.93] 你就找他去老板过来过来过来恒大欠了你多少钱
[1071.93-1072.49] 不多一百万
[1072.51-1074.17] 这么着一百万现金
[1074.17-1075.39] 我今天就给你
[1075.39-1076.41] 我今天就给你
[1077.49-1078.45] 你帮我办一件事
[1079.53-1080.91] 帮我没问题
[1080.91-1082.61] 帮帮您办什么事
[1082.61-1086.73] 帮我去法院递状子
[1086.73-1090.69] 申请恒大破产重整进入破产重整程序
[1092.01-1093.15] 借你公章一用
[1094.21-1096.63] 您想想他能不同意吗
[1096.63-1096.97] 对了
[1096.97-1098.25] 他肯定同意
[1098.25-1099.87] 对他一点坏处都没有
[1099.87-1101.15] 他当然同意了
[1101.15-1102.25] 那这样就能够了
[1102.25-1106.15] 就能这样是最快速的启动法律程序的方式
[1107.89-1108.85] 这条给你翻译完了
[1109.99-1111.79] 法院裁定受理破产重整
[1111.79-1118.15] 法院经审查认定符合破产重整的应当裁定债务人重整
[1118.15-1120.07] 就是欠债的重整
[1120.07-1123.57] 并亦公告企业破产法第七十一条规定
[1123.57-1129.61] 人民法院经审查认为重整符合本法规定的应当裁定债务人重整
[1129.61-1132.23] 并亦公告就是法院给你
[1132.23-1134.09] 重整受理通知书
[1134.09-1136.07] 那个就是个标志性的案件
[1137.09-1140.33] 就是我去重整这个上市公司
[1140.33-1142.63] 我老我大老王真正操作的时候
[1142.63-1147.61] 我会给我的投资银行部一个时间节点
[1147.61-1150.41] 就是我给你启动资金
[1150.41-1153.59] 两百万一百万去找什么
[1153.59-1156.71] 找最贵的律师去付定金
[1156.71-1159.35] 另外一百万去给我找一个债权人
[1159.35-1161.29] 全额现金买了他债权
[1161.29-1161.97] 然后
[1161.97-1163.83] 给我去法院
[1163.83-1168.73] 所辖人民法院找法官找院长公关去
[1168.73-1170.01] 然后我要什么
[1170.01-1172.11] 我要裁决书
[1172.11-1174.19] 法院的裁决书一拿
[1174.19-1176.85] 这个法院一定是这个注册地的法院
[1176.85-1178.41] 所以你看恒大集团
[1179.55-1182.13] 他的法院是香港法院
[1183.27-1184.59] 那我比如说
[1187.73-1189.21] 如果我们是A股的话
[1189.21-1191.49] 那就是这个公司它的注册地在哪
[1191.49-1191.75] 就是那个债权人啊
[1191.75-1191.95] 那就是那个公司它的注册地在哪
[1191.97-1192.65] 就是那个公司的法院
[1192.65-1194.07] 中级人民法院
[1194.07-1195.75] 如果是北京就是北京市议中院
[1195.75-1196.23] 明白吗
[1197.79-1200.19] 那指定管理人程序
[1201.41-1204.61] 法定下一步指定管理人程序
[1204.61-1208.59] 法院在裁定受理破产同时指定管理人
[1208.59-1210.11] 企业破产法第13条规定
[1210.11-1213.03] 人民法院裁定受理破产申请的同时
[1213.03-1214.59] 指定破产管理人
[1214.59-1215.91] 这又不对了
[1215.91-1216.99] 这又在骗你
[1216.99-1218.81] 其实我就像我刚才说的
[1218.81-1221.75] BB8和锐以拾荒的一天企业就是
[1221.75-1225.37] 那个那个要发了财要发财的那个人
[1225.37-1228.85] 那个那个第一天起就会带着管理人去
[1228.85-1229.91] 管理人是什么
[1229.91-1231.57] 管理人就是律师事务所
[1232.87-1236.03] 中国最好的破产管理人是京都律师事务所
[1236.03-1236.99] 你们要想干这行
[1236.99-1238.49] 你找他们就对了
[1238.49-1239.39] 中轮也可以
[1239.39-1240.11] 京都也可以
[1240.11-1241.53] 这都是套不及的
[1241.53-1245.81] 因为什么破产法就是他们几个人写的
[1245.81-1247.25] 这是圈子
[1247.25-1247.75] 明白吧
[1247.75-1249.43] 中国美国也一样
[1249.43-1250.01] 加拿大一样
[1250.01-1251.53] 任何一个人类社会
[1251.53-1252.95] 他都是圈子社会
[1252.95-1258.49] 你想这个破产法的法条是这些律师事务所的主任合伙人写的
[1258.49-1261.17] 那些法官都是他们的学生
[1261.17-1261.37] 哎
[1261.37-1261.81] 你说不对
[1261.81-1262.57] 他怎么是学生
[1262.57-1265.45] 因为他们同时又身兼中国政法大学
[1265.45-1267.99] 什么北京大学法学院的教授啊
[1267.99-1269.15] 明白了吧
[1269.15-1269.81] 懂了吧
[1269.81-1271.63] 所以这就是圈子
[1271.63-1273.17] 学术和商业
[1273.17-1274.17] 它是一体的
[1274.17-1275.61] 好了
[1275.61-1277.25] 第二阶段
[1277.25-1279.13] 进入第二阶段
[1279.13-1280.11] 第一阶段就是受理
[1280.11-1280.85] 第二阶段就是什么
[1280.85-1281.51] 债权事务
[1281.53-1287.35] 债权人申报和核查财产调查和管理召开第一次债权人的代表大会
[1287.35-1288.01] 债权人会议
[1289.27-1293.11] 以致债权人通知和债权申请公告
[1293.11-1294.13] 法院在裁定
[1294.13-1298.71] 裁定受理破产后25天内应该通知已知的债权人
[1298.71-1301.77] 并向社会公告债务人破产
[1301.77-1307.41] 债权人申报债权公告中明确债权申报事项等内容
[1307.41-1309.37] 这一般都是要登报
[1309.37-1311.37] 并且由这个恒大
[1311.37-1313.25] 要通知他所有的债权人
[1313.25-1315.83] 要过来登记造册了
[1315.83-1317.77] 现在我们要破产了
[1317.77-1318.37] 你们都过来
[1318.37-1319.69] 撒瓜撒枣都能够拿过来
[1319.69-1321.87] 在这个过程中进入下一步
[1321.87-1325.71] 管理人展开债权核查和债权编制报表
[1325.71-1328.31] 就是说到底欠了多少人的钱
[1328.31-1330.73] 就是所谓的恒大欠两万
[1330.73-1332.29] 两万四千亿
[1332.29-1334.69] 就是两万三千八百八十亿
[1334.69-1336.33] 这个数到底对不对
[1336.33-1338.65] 到底是什么表格
[1338.65-1340.91] 这个就是律师团在做
[1341.37-1342.21] 明白吧
[1342.21-1343.13] 不是说恒大
[1343.13-1345.93] 那恒大这玩意要是他不承认怎么办
[1345.93-1347.01] 因为这个债权债务
[1347.01-1351.69] 他之间欠债的和那些债主之间总往往是有矛盾的
[1351.69-1353.91] 那这个里边就是有我刚才说的
[1353.91-1355.17] 就是咱们还是说吧
[1355.17-1356.49] 就是京都或者中轮
[1356.49-1361.23] 这种顶级的律师事务所来进行这样的受理工作
[1362.53-1363.27] 找律师去
[1364.23-1365.91] 在这个过程中
[1365.91-1368.55] 这个上市公司的公章
[1368.55-1369.97] 包括他的管理
[1369.97-1371.29] 都要交给
[1371.37-1373.29] 账册都要交给这个律师
[1373.29-1375.01] 这个律师在这里边
[1375.01-1376.89] 律师在里面全力打击了
[1376.89-1379.89] 就是律师楼基本上都给你控制住了
[1379.89-1383.25] 那在这个过程中就有好多细节了
[1383.25-1383.85] 什么细节
[1384.81-1387.21] 就是你怎么证明你是债权人
