[1.14-2.46] Hello 大家好
[2.46-4.42] 今天是星期天
[300.02-301.14] 他都想成他
[301.18-303.42] 巴菲特在北京开会请我去
[303.42-304.54] 他说跟他吃饭
[304.86-307.18] 就是他人生不断的在一饮我
[307.18-308.66] 因为我是他的偶像
[308.70-310.50] 在我没跟他翻脸之前
[310.50-312.10] 你们大家看我那小视频
[312.10-313.02] 他怎么夸我
[313.02-314.34] 把我赞成一朵花
[314.86-315.94] 5倍于他智商
[316.18-316.98] IQ是多少倍
[317.50-319.34] 我20多岁的时候成就有多大
[319.34-320.82] 让大家发挥想象力去讲
[320.82-321.66] 这都是他原话
[321.66-322.22] 对不对
[322.22-323.22] 不是我老王编的
[323.42-324.22] 不是我编的
[324.66-326.78] 结果现在恼羞成怒了
[326.78-327.70] 披头散发了
[327.70-328.46] 就胡来
[328.74-332.26] 在他把自己想象成我的过程中
[332.98-333.74] 坏了
[333.78-336.10] 他把他自己的短也想象成我
[336.14-338.50] 就是真的是有人进过看守所
[338.54-339.26] 真的是有人
[339.26-340.38] 因为借钱嫖娼
[340.38-341.70] 进了宣武的看守所
[342.14-343.34] 北京城南的看守所
[343.34-345.06] 那是翟山英的事
[345.10-346.62] 我为翟山英留点面子
[346.62-348.50] 我一直没有提这个事
[349.14-351.30] 结果可好
[351.46-353.10] 他按到我头上了
[353.14-354.66] 我无法辩驳
[354.82-355.34] 为什么
[355.54-357.50] 因为我2011年移的民
[358.10-359.66] 但凡有点基础知识的
[359.66-361.54] 就知道移民到加拿大
[361.54-363.26] 这个过程非常长
[363.26-364.22] 有联邦
[364.26-365.02] 有各省
[365.02-365.94] 有魁省
[367.10-367.94] 天呐
[368.14-369.18] 我走的联邦
[369.18-371.22] 联邦移民是要很长时间的
[371.22-371.94] 大哥
[371.94-372.94] 我在这个过程中
[372.94-374.14] 要是进了监狱也好
[374.14-375.18] 进了看守所以好
[375.18-377.10] 我是进不来加拿大的
[377.14-378.34] 翟山英你太土了
[378.34-379.06] 你个山炮
[379.06-379.58] 你知道吧
[379.58-381.22] 你就是没有办过移民
[381.26-382.86] 你没有基础知识
[382.86-384.74] 所以你才说我那个时间段
[384.74-386.26] 你要是真说我进监狱
[386.30-387.54] 你应该换一个时间段
[387.54-389.46] 就是我移完民之后
[389.46-390.74] 我回国嫖娼被抓了
[390.94-393.14] 这就我就更没法辩驳了
[393.18-396.14] 因为那个时候我已经是加拿大身份了
[396.14-399.82] 另外这个是缺乏起码的境外的知识
[399.82-402.30] 认为这跟他人生经历有关系
[402.34-403.98] 他从来没有美国签证
[403.98-405.54] 从来没有加拿大签证
[405.58-406.94] 从来没有澳大利亚签证
[406.94-408.34] 翟山英是个土鳖
[408.66-410.06] 翟山英你别怪听
[410.06-411.54] 你从网上秀一下
[411.54-413.62] 你的美国签证和加拿大签证
[413.66-414.74] 不是我瞧不起你
[414.74-415.82] 你真的是差得很远
[415.82-416.86] 咱们不说这个
[417.02-417.34] 呃
[417.34-418.06] 还要说什么
[418.06-419.58] 一个黄金买壳2000万
[419.62-421.14] 扛雷进了监狱
[421.82-423.22] 你他妈有点基本概念
[423.22-425.22] 买壳2000万能买得了吗
[425.26-425.82] 我告诉你
[425.82-427.22] 一个黄金买壳丘连
[427.22-428.54] 你说的是丘连吗
[428.70-430.38] 3.5个亿的现金
[430.38-431.50] 主板的一个壳
[431.50-433.38] 当时就是3个亿现金
[433.58-434.42] 一个山炮
[434.42-435.54] 我们花了整整3亿
[435.54-436.82] 我说2000万
[436.86-438.18] 你买什么壳花2000万
[438.18-439.74] 你快给我批发给我
[439.74-440.82] 我包10个
[442.30-443.34] 不值得辩读
[443.38-444.14] 为什么
[444.42-446.50] 因为他是在把他自己的经历
[446.50-447.30] 幻化成我
[447.34-448.58] 这么着吧
[448.62-450.98] 翟山英的那些粉丝水平太低
[450.98-452.14] 因为是他的粉丝
[452.14-453.70] 那都是low b的
[453.70-454.82] 智商都不够的
[454.94-456.14] 跟着看热闹
[456.18-457.82] 你给他们解释什么移民
[457.98-460.62] 需要一年半到两年半的时间
[460.82-461.06] 什么
[461.06-462.54] 你在这个过程中不能有犯罪
[462.54-464.30] 他们也不能有犯罪记录
[464.70-465.82] 他们也听不懂
[465.98-468.18] 这么用能听懂的江湖术语
[468.58-469.18] 翟先生
[469.18-470.46] 你刚才说我
[470.66-472.22] 进监狱这件事
[472.26-473.26] 进看守所这件事
[473.26-473.70] 翟山英
[473.70-475.02] 如果是真的我死
[475.22-476.34] 我死我不得
[476.34-477.38] 如果是假的
[477.38-478.22] 你不得好死
[478.22-480.58] 你明天直播的时候敢接这句话吗
[481.26-482.78] 如果你是撒谎了
[483.14-484.10] 你死全家
[484.54-486.10] 如果你说的是真话
[486.10-486.70] 我死全家
[486.70-487.62] 你敢接吗
[487.62-489.58] 这是老太太打架吗
[489.58-490.90] 咱不就是老太太打架吗
[490.90-491.62] 对不对
[491.78-494.38] 这是我从老太太打架的角度上
[494.38-496.26] 跟你踢这个球
[496.26-497.02] 你敢不敢接
[497.02-497.74] 这是第一
[497.74-498.34] 第二
[498.34-498.78] 翟山英
[498.78-500.98] 我们说一点用心的东西
[500.98-501.42] 用钱
[501.42-502.62] 因为你特别喜欢钱
[502.62-503.46] 我们说钱
[503.46-504.14] 翟山英
[504.26-506.30] 我王继周只要在中国资本市场
[506.34-507.86] 上做了一件亏心事
[507.86-509.26] 骗了一个老百姓的
[509.26-510.58] 哪怕1万块钱
[510.58-512.26] 只要有人贴出来
[512.26-513.54] 无论是贴到油管上
[513.54-514.22] 我的评论区
[514.22-515.34] 还是贴在哪
[515.34-516.10] 我都不删
[516.10-517.26] 只要大家发出来
[517.26-519.62] 我王继周10倍的偿还
[519.62-520.50] 10倍偿还
[521.02-522.26] 并且直播吃屎
[522.26-522.62] 翟山英
[522.62-523.14] 你敢吗
[523.14-524.06] 你敢接吗
[524.26-525.26] 你翟山英敢说
[525.26-527.30] 你在中国没有骗老百姓的一分钱吗
[527.30-528.06] 你跟我说
[528.06-529.10] 你骗了老百姓
[529.14-530.46] 你没有骗老百姓的钱
[530.46-531.66] 就是共产党欺负你
[531.70-532.78] 就是共产党迫害你
[532.78-533.70] 你敢接吗
[533.86-535.90] 然后你10倍的钱还给人家
[536.34-538.42] 你要是裤裆里有个蛋
[538.42-539.26] 你要是个男人
[539.26-540.18] 当然你可能不是
[540.18-541.06] 你是个老太太
[541.26-542.86] 你就接这句话好吧
[544.38-547.42] 我现在有偶像包袱了
[547.42-549.26] 因为这两天涨粉蹭蹭的
[549.26-550.62] 一千一千的涨粉
[551.54-552.42] 我都有点怵了
[552.42-554.30] 因为我没想到发展的这么快
[554.42-555.62] 我以为我开频道
[555.62-556.70] 就像我刚开频道
[556.70-557.26] 跟大家讲
[557.26-558.54] 我用一年的时间
[558.58-559.98] 慢慢的把粉丝养起来
[559.98-562.78] 我的小目标是一年能做到10万粉丝
[563.46-565.46] 现在我做了两个月不到
[565.46-566.30] 大概一个半月的时间
[566.30-568.42] 我是12号开的油管频道
[568.42-571.42] 到今天大概一个月零二十天
[572.18-574.30] 现在蹭蹭就奔着两万去了
[574.42-576.18] 因为这个东西老王是学理工的
[576.18-577.54] 它是有几何级数的
[577.54-580.14] 你的视频越受欢迎
[580.14-582.98] 油管对你进行网络推荐的力度就越大
[583.14-583.86] 这样的话
[584.58-586.22] 我就有了偶像包袱
[586.22-588.26] 因为开始我是没有搞的
[588.26-590.06] 这就是脱稿乱喷
[590.34-591.50] 想哪说的
[591.50-593.06] 而且满嘴跑火车
[593.06-594.86] 竟开车说黄色笑话
[595.06-595.94] 我那标题
[595.94-596.30] 呢
[596.30-599.06] 就是我的朋友说我那个标题
[599.06-600.10] 就是我那封面
[600.10-602.10] 特别看起来接地气
[602.10-606.90] 就特别像香港油麻地和庙街的一楼一凤的广告
[607.34-610.70] 什么任作什么波大水多
[610.70-614.54] 北沽陀地我都是那种大字
[614.54-616.70] 我一看还真有点像
[616.70-618.30] 底下大字上面大字
[618.62-621.14] 我这个也得我都2万粉的话
[621.14-622.50] 我就我得端起来
[622.50-623.46] 我有偶像包袱了
[623.46-623.98] 知道吧
[624.22-626.26] 我得像专家一样
[626.30-627.14] 这样说话
[627.74-628.74] 有理有据
[628.74-630.58] 而且必须得是有那个字幕
[630.58-632.06] 然后我看着有数据
[632.06-634.30] 这样才能显示我是一个专家
[634.46-635.10] 要不然的话
[635.10-638.06] 你看我整天跟翟山英在那互相泼粪
[638.42-639.42] 我泼不过他
[639.42-641.30] 因为他是一个很low b的人
[641.58-646.94] 他智商逻辑和他资本上的高度都差我很多
[647.06-647.58] 这样的话
[648.10-649.38] 他就把我拉下去了
[649.38-650.74] 用他的优势打败我了
[650.74-652.74] 比如说他裤裆里的屎特别多
[652.74-653.94] 他自己经过看守所
[653.98-655.18] 他就给我按头上
[655.34-656.26] 然后他自己
[656.26-657.66] 智商逻辑逻辑性差
[657.66-658.78] 前言不达后语
[658.78-659.78] 昨天还在夸我
[659.78-660.66] 今天骂我
[660.66-662.98] 我老王所有的视频
[662.98-665.98] 包括从我的15年以前的新浪博客到今天
[665.98-667.26] 所有的世界观价值观
[667.26-668.70] 所有的说法没有变过
[669.14-669.90] 翟山英不一样
[669.90-671.18] 翟山英天天变
[671.18-672.38] 而且他自己都不知道
[672.42-673.78] 他自己变得那么自主
[673.78-675.38] 这样的话我打不过他
[675.46-677.30] 所以我不能再蹭他了
[677.30-678.38] 你知道我不蹭了
[678.38-679.78] 我调整了
[680.18-682.06] 一切尽在我的设计中
[682.06-683.66] 但是我没想到发展这么快
[683.70-685.22] 我设计跟翟山英斗争
[685.22-686.22] 就是蹭他粉
[686.26-688.66] 目的就是并不高尚
[688.66-689.74] 就是真小人
[689.98-690.78] 就是蹭他粉
[690.78-691.78] 把我蹭大了就行了
[691.78-693.06] 蹭重壮了就行了
[693.30-694.58] 蹭起我这个频道来
[695.46-697.22] 目标小目标蹭2万粉
[697.50-700.70] 然后他的4个阶段是严防死守
[700.70-701.58] 假装不认识我
[701.58-702.50] 半推半就
[702.50-703.22] 我说什么
[703.22-706.42] 他眼口呼噜而笑
[706.42-708.46] 第三就是来者不拒
[708.46-709.10] 就我说什么
[709.10-710.62] 他要反攻了
[710.62-712.18] 第4阶段就是我不说他
[712.18-712.82] 他说我
[712.82-714.54] 他现在直接跳到第4阶段
[714.54-715.94] 一个月零20天
[715.94-716.22] 跳到
[716.26-717.02] 第4阶段
[717.02-718.22] 我最近没说他
[718.22-719.98] 而且我都是在给他机会
[720.26-722.82] 他恶毒的攻击我了10分钟
[722.86-725.82] 占了他视频的主要干货内容的一多半
[725.82-727.78] 因为他前面那几分钟没法看
[727.94-729.86] 就是骂我的10分钟特别精彩
[729.98-731.62] 所以我以后得端起来
[731.62-733.54] 我不跟他对骂
[733.54-736.66] 我要把光荣而艰巨的任务交给翟山英
[736.66-737.66] 骗我300万
[737.70-740.18] 我现在在视频里隆重推荐大家去看
[740.18-741.70] 翟山英骗我300万
[741.74-743.74] 关于翟山英老师的所有的黑料
[744.50-745.78] 所有的对骂的内容
[745.78-747.02] 都会从那个频道出来
[747.18-748.18] 那频道跟我没关系
[748.62-750.50] 我这儿是我做自己的事
[750.50-752.18] 我维持我的伪形象
[752.22-753.58] 伪形象
[753.70-754.54] 伪装的伪
[755.58-760.26] 然后给大家念念今天的观众评语和观众来信
[760.26-761.02] 太好玩了
[761.02-762.06] 太有意思了
[762.10-762.98] 充满了乐趣
[762.98-764.90] 给大家弄得喜庆一点
[765.26-766.18] 第一个说
[766.54-769.22] 翟说你借钱去嫖娼被抓了
[769.22-770.06] 笑死我了
[770.06-771.90] 他的说辞真让我嘲笑
[771.90-772.90] 他是个lowb
[772.90-774.30] 我完全同意你的观点
[774.30-775.06] 我算了
[775.06-777.74] 说嫖娼被抓就OK了
[777.74-779.90] 怎么还能说我借钱嫖娼被抓
[780.26-781.90] 他只能说这么形象
[781.90-782.50] 这么具体
[782.50-783.78] 只能说是他自己的事
[784.46-787.10] 我操老王再混得不济
[787.10-788.18] 我也是个资本大鳄
[788.38-790.34] 我操我嫖娼还要借钱
[792.58-793.34] 没法反驳
[793.34-793.82] 不反驳
[793.82-794.54] 不予反驳
[794.70-795.78] 你们信就信吧
[796.82-798.50] 最逗的是翟说他坐飞机
[798.50-799.54] 坐商务舱
[799.58-801.50] 碰见了坐普通舱的老王
[801.62-802.62] 他看见了老王
[802.62-803.94] 但是老王没理他
[803.94-804.94] 后来老王给他发信息
[804.94-806.70] 他就假装看不见
[806.74-807.86] 他现在的感情
[807.86-809.02] 真的就像一个女人
[809.02-810.18] 对待前任一样
[810.22-811.26] 你还敢不理我
[811.78-812.82] 我也不理你
[812.86-814.54] 而且我要骂死你
[814.54-816.10] 谁叫你当初说走就走
[816.10-816.98] 不带我
[818.54-819.22] 有这事吗
[819.22-819.98] 我没看这段
[819.98-821.18] 怎么还我坐经济舱
[821.18-822.30] 他坐头等舱
[822.34-823.78] 在一个飞机碰上了
[824.22-825.38] 一派胡言
[825.74-827.38] 一派胡言
[827.42-828.22] 一派胡言
[828.22-829.78] 我是在我视频里说过
[829.82-831.22] 我非常节俭
[831.22-833.02] 平时基本上在国内出行的时候
[833.02-833.62] 都坐
[833.62-835.22] 经济舱
[835.22-836.38] 这是我自己说的
[836.42-838.22] 看来我每期视频他都看
[838.22-839.74] 拿个笔记本记下来
[839.78-840.42] 但是第一
[840.42-841.46] 我从来没有见到过
[841.46-843.62] 他在公共舱跟我碰上过
[843.62-844.38] 要是我碰上过
[844.38-845.30] 请他拿出证据来
[845.46-846.22] 我给他发短信
[846.22-847.14] 他请他拿出证据
[847.14-848.54] 他不要从库当里又拿东西
[849.46-850.22] 第二
[850.66-853.14] 我坐经济舱真正的原因是
[853.14-854.74] 如果我坐公共舱
[854.78-856.54] 那些副总盟也会坐公共舱
[856.54-859.26] 我当时以为银河资本是我百年老店
[859.30-860.10] 我想多了
[860.10-861.42] 我现在老后悔了
[861.46-862.18] 如果我回
[862.18-863.14] 我如果有朝一日
[863.14-863.58] 还能回国
[863.58-864.70] 再干的银河资本
[864.70-866.38] 我绝对买私人飞机
[866.38-867.58] 我可不省着
[867.62-868.50] 我操他妈的
[868.50-869.86] 我当时中毒了
[869.86-872.50] 什么比尔盖茨和李嘉诚出差
[872.50-873.42] 做经济舱的故事
[873.42-874.42] 把我给毒害了
[874.74-875.98] 所以老宅
[875.98-878.02] 是我的小谜底第一份
[879.30-880.46] 老宅骂一次
[880.46-883.42] 老王比2万粉丝催更效果好多了
[883.46-884.50] 粉丝催更老王
[884.50-885.38] 可能还得抽时间
[885.38-887.10] 老宅骂一起
[887.14-888.90] 他恨不得当场更一条
[888.90-889.14] 哎
[889.14-890.78] 你说到我心里去还真是
[890.78-891.30] 我操
[891.34-892.86] 当时我就我就摁不住了
[892.86-893.34] 要不今天
[893.34-893.54] 我
[893.58-894.02] 太重要了
[894.02-895.66] 一场温哥华的会议了
[895.66-895.98] 我操
[895.98-897.38] 我上午我就催
[897.38-898.18] 我就更了
[899.14-899.82] 这位说
[899.82-901.14] 我大学前女友闺蜜
[901.14-903.10] 就和福建佬搞在一起做诈骗的
[903.10-905.26] 在迪拜住别墅开豪车
[905.30-907.14] 据说还买了一栋五星级酒店
[907.14-907.78] 衡阳人
[907.78-908.86] 湖南师大毕业的
[909.50-912.46] 属实迪拜有好多的做电诈的
[912.70-913.34] 翟山英同志
[913.34-914.54] 现在已经加盟进去了
[914.58-915.34] 他跟谁合作
[915.34-915.94] 我都知道
[916.10-918.94] 我估计大家不会再上德大了
[918.94-919.94] 如果还上那
[919.94-920.78] 我也没办法
[921.34-923.14] 你们的关系就相当于蝙蝠侠
[923.14-923.54] 与小丑
[923.58-924.34] 哈哈
[924.34-925.70] 这还真挺形象的
[925.70-926.66] 我是蝙蝠侠
[926.66-927.26] 你看我一身黑
[927.26-927.98] 他这个小丑
[928.18-929.66] 整天在这劈头散发的
[929.66-930.62] 发疯闹
[930.86-932.42] 你看翟山英现在的镜头
[932.62-933.66] 从上往下拍
[934.22-935.42] 因为我说他是八字奶
[935.42-936.66] 他原来从下往上排
[936.66-937.46] 平着排的
[937.66-939.02] 大八字奶晃
[939.82-940.82] 都是C背招
[941.46-942.14] 我说完以后
[942.14-943.14] 他从上往下排
[943.30-944.26] 可是又有新问题
[944.26-945.02] 翟山英
[945.06-946.14] 你从上往下排
[946.14-947.38] 你是个大囧
[947.70-948.30] 大囧
[948.30-949.82] 你那两个大黑眉
[949.82-950.86] 大方脸
[950.90-951.74] 大两担子
[951.74-953.02] 那是个大囧字
[953.10-953.54] 你人在哪
[953.54-954.50] 人在囧图
[954.50-955.62] 他妈向油新生
[955.62-957.06] 你赶紧再想一个
[957.10-957.94] 你从侧面拍
[958.38-959.94] 你弄个拿阿努纳奇造型
[960.90-962.22] 我知道你看我的视频
[962.26-964.14] 我们看翟山英下次
[964.18-965.98] 他的视频角度的变化
[966.14-967.30] 我又提醒他
[967.34-968.30] 你自己看翟山英
[968.30-969.34] 你是不是个大囧
[969.82-971.26] 你知道这个东西有风水的
[971.42-972.14] 你的面相
[972.14-973.26] 你看老王这
[973.46-974.62] 印堂都是亮的
[974.66-976.02] 你这个大囧
[976.06-976.82] 就是个囧
[976.82-977.86] 人在囧图
[977.98-979.62] 就说就是你要出事了
[979.62-980.22] 老翟
[980.54-981.58] 你还是好好调一下
[981.58-982.34] 你的视频角度
[983.54-984.66] 不吹牛逼
[984.66-987.02] 老翟会偷偷的看老王每一集视频
[987.02-988.06] 还会做笔记
[988.10-989.86] 是当之无愧的第一铁粉
[989.90-992.18] 属实我完全同意你的观点
[992.22-993.78] 因为我说我做经济舱
[993.78-994.30] 他都知道
[994.30-995.14] 他都记得了
[996.14-997.66] 听小鸟骂你还挺爽的
[998.02-998.82] 你个变态
[998.86-1001.02] 不过翟小鸟骂人绝对一绝
[1001.14-1003.06] 他已经把我跟习主席
[1003.10-1003.98] 放到一个level了
[1003.98-1005.06] 因为就是反来复去
[1005.06-1005.98] 这个大傻逼
[1006.02-1006.58] 大傻逼
[1006.58-1007.62] 习近平是大傻逼
[1007.62-1008.58] 我也是大傻逼
[1009.22-1010.10] 确实挺过瘾
[1010.10-1011.50] 因为不是骂我自己
[1011.50-1012.46] 我听他骂习近平
[1012.46-1013.54] 我也觉得挺过瘾
[1013.58-1014.58] 但现在不是了
[1014.58-1016.06] 他因为他天天骂我大傻逼
[1016.10-1017.58] 我现在听他骂习近平
[1017.58-1020.14] 我有吐死狐悲之感
[1020.50-1023.10] 就是我有同命相怜之感
[1024.92-1026.28] 老王
[1026.36-1028.28] 我有点担心你和翟之争陷入
[1028.28-1030.00] 郭文贵和老黄的怪圈
[1030.16-1032.00] 他们俩最后搞成了斗气的模式
[1032.00-1033.84] 而不是是非对错
[1034.16-1036.36] 而吃瓜群众天天看笑话
[1036.36-1037.20] 骂脏话
[1037.24-1039.12] 揭骗秀变成秀底线了
[1039.16-1039.60] 不好
[1039.60-1040.60] 请避免老套路
[1040.60-1042.12] 我不刚才跟你说了吗
[1042.16-1043.56] 四个阶段过完了之后
[1043.56-1043.76] 我要
[1043.76-1043.80] 提醒大家
[1043.80-1044.56] 洁身自好
[1044.56-1046.96] 我才不会跟他对罢呢
[1046.96-1048.48] 他一般爱说什么说什么
[1048.52-1049.60] 一切不好的话
[1049.60-1052.00] 都由翟山英骗我300万同志
[1052.04-1053.48] 替我来发声
[1053.52-1055.64] 我就是阳光正面
[1055.64-1056.64] 佛光普照
[1056.68-1058.68] 那个哥们干脏活累活
[1059.00-1060.00] 因为他是苦主
[1060.00-1061.04] 他干脏活累活
[1061.04-1061.92] 我来点拨他
[1061.92-1063.20] 我偷偷的给他写信
[1063.24-1064.20] 给他喂料
[1064.56-1065.44] 我是这么想的
[1065.44-1067.36] 翟山英我看你怎么破这个局
[1068.44-1071.00] 大家一定油管搜索翟山英
[1071.04-1072.16] 骗我300万
[1072.44-1073.72] 他现在粉丝数还不够
[1073.72-1073.76] 一定会被人骗了
[1073.76-1075.08] 一定要让他到5000以上
[1075.08-1075.92] 1万以上
