[1.68-3.68] 哈喽 大家好 又见面了
[3.68-5.96] 本来想上午工作
[625.04-628.24] 他们都舍不得扔掉剩菜
[629.66-636.12] 我们家的电冰箱主要的功能就是储存剩菜剩汤的
[636.12-638.54] 那一口都都要留着
[640.58-642.80] 有陈米绝不吃新米
[642.80-644.42] 一定要把新米放成陈米
[644.42-647.08] 再再吃陈米
[647.08-650.70] 而新的一批新米继续放着等它成为陈米
[652.92-655.00] 去酒店就是
[655.04-661.16] 他们会把酒店一切免费提供的小香皂
[661.16-662.66] 小洗发水
[664.80-668.96] 小牙刷小牙膏用过的一次脱鞋
[670.34-672.62] 塞在自己行李箱里
[672.62-676.96] 走多少国家走多少城市就带多远
[676.96-677.74] 为什么
[677.74-679.80] 赤贫留下的记忆
[679.80-682.58] 我还记得我小时候去吃一些喜宴之类的
[682.58-683.80] 那个四喜丸子上来
[683.80-684.86] 我妈老是先加一个给我吧
[684.86-687.06] 我小时候就觉得特别丢人
[687.06-690.62] 因为我小时候是没有经历过挨饿的这样一个状态
[690.62-692.52] 或者吃不上肉的这个状态
[692.52-694.44] 我是没有这个概念的
[694.44-696.44] 但是我就觉得你你转的时候
[696.44-697.62] 你那个比如说对一下一来
[697.62-700.66] 咔嚓给你叨两个放在小孩盘里
[700.66-702.28] 这我就觉得太骚了
[702.28-704.02] 那时候特别小十来岁
[704.02-705.06] 但是七八岁
[705.06-709.62] 但是我也觉得没面儿丢人
[709.62-710.98] 然后我就跟我妈甩脸子
[710.98-711.62] 我说我不吃
[711.62-714.62] 就是你今天看那个
[714.62-717.04] 那个河南农村的那个酒席
[717.04-718.46] 或者泰国那个自助餐
[718.46-719.62] 哗一上来
[719.62-722.28] 一群老太太哗
[722.28-723.96] 没了
[723.96-726.38] 哒啦啦啦啦啦啦啦啦
[726.38-729.20] 那个饭碗都在空碗在转
[729.20-730.54] 再上来一个红烧肉
[730.54-731.66] 哒啦啦啦啦啦啦啦
[731.66-732.86] 没了
[732.86-738.82] 就真的就是他们不是缺那口肉吃
[738.82-740.46] 他们病了
[740.46-741.86] 他们是精神病
[741.86-743.86] 他们在幼年的时候妈挨饿
[743.86-744.46] 挨惨了
[744.62-747.28] 以至于这个物理上
[747.28-749.58] 生理上的饿影响了心理
[749.58-751.32] 就是心理永远是饿的
[751.32-752.70] 永远见着肉是要抢
[752.70-754.38] 见着鱼虾是要抢
[754.38-757.12] 因为贵要先抢
[757.12-761.70] 而根本不会考虑自己生理上是不是已经三高了
[761.70-763.42] 高血压高血脂
[763.42-769.00] 这个时候一下脑回路直接点进抢菜模式
[769.00-771.50] 什么控血压控血脂
[771.50-772.78] 再说忘了
[772.78-774.08] 大抢
[774.08-775.92] 老一代的中国人
[775.92-779.46] 即使是城里的人能做到不抢饭
[779.46-783.54] 不从酒店里顺小牙膏小肥皂了
[783.54-785.66] 能有几个
[785.66-790.84] 所以足以证明中国的潦草依然存在
[790.84-792.92] 还没结束
[792.92-796.16] 就是好日子根本就他妈还没有正式开始
[796.16-797.66] 就已经开始飘了
[797.66-800.84] 就我们为什么一再强调不能潦草呢
[800.84-802.88] 为什么一再重复
[802.88-803.88] 我们要回忆
[803.88-808.00] 我们的痛苦的哪怕是在地狱经历过的这样的回忆
[808.00-809.38] 不能逃避
[809.38-811.12] 不能假装没发生呢
[811.12-814.84] 其实就是因为如果我们不这么做的话
[814.84-817.84] 就是有这样的人就会替我们做
[817.84-821.72] 就是习近平今上他就会替我们做
[821.72-826.00] 他就会带着他真的带着他的这个记忆
[826.00-828.50] 带着他自己也剪辑过的记忆
[828.50-832.34] 把这些24岁以下的中国孩子都培养成红卫兵
[832.34-838.38] 真的按照他的想法去进行对世界的统治和重塑世界秩序
[839.80-842.14] 那毫无疑问他是成不了的
[842.14-844.50] 因为我们之所以回忆我们才富了20年
[844.50-848.22] 就是说我们的底我们的底牌太薄了
[848.22-850.26] 你只有两个三
[850.26-852.96] 你他妈以为你是两个王
[852.96-855.72] 你还以为你是青三对
[855.72-859.26] 其实你真的那个牌太小了
[859.26-861.60] 但是为什么他不知道呢
[861.60-862.22] 因为他也知道
[862.22-863.46] 他也是病人啊
[863.46-867.06] 其实我们是应该带着看病人的心态
[867.06-869.98] 去怜悯的看我们尊敬的今上了
[869.98-872.30] 就是他有病
[872.30-873.18] 他真的病了
[874.84-877.30] 他记忆也给自己编辑了
[877.30-878.56] 他痛苦的记忆
[878.56-881.18] 他装孙子的过程全忘了
[881.18-883.56] 然后今天大权在手以后吧
[883.56-885.22] 他就觉得自己是神
[885.22-886.06] 他编辑过记忆
[886.06-886.84] 他真的病了
[888.56-891.64] 这真的是这样的就是
[891.64-894.48] 你如果要是今上了班子中的成员
[894.48-896.52] 或者哪怕你是他的外围成员
[896.52-898.80] 你是省部级第四级的
[898.80-899.98] 如果你们是我的观众
[899.98-901.40] 你们现在一定有同感
[901.40-903.52] 你们是每天都在演戏呀
[903.52-905.10] 在他妈疯人院里面演戏
[905.10-906.76] 你不累吗
[906.76-910.84] 因为整个中国的现在上层建筑全部都是疯人院模式
[910.84-914.52] 大家一本正经的做一些毫无意义的傻逼做的事儿
[914.52-916.06] 而且要特别投入
[916.06-921.44] 要觉得我擦你就要演得特别投入
[921.64-923.14] 荒诞剧
[923.14-924.18] 你要投入到其中
[924.18-925.64] 而且把它演成生活
[925.64-930.44] 我自问不是那种能把自己的爱好戏剧爱好作为生活
[930.44-931.18] 过日子的人
[931.18-932.44] 所以我们只能退出
[933.68-937.10] 那你你如果要是不去反思
[937.10-938.30] 不去影响的话
[938.30-942.30] 整个国家会跟着疯人怨话
[942.30-945.76] 那你一定会碰的头破血流
[945.76-947.72] 中国今年就是最好的一天
[949.22-951.52] 说股市能涨到多少点
[951.64-955.44] 昨天我有个朋友从中国给我打回来电话
[955.44-956.76] 说妈妈被套牢了
[956.76-958.40] 股市能涨到多少点
[958.40-959.56] 还能不能反弹
[959.56-961.22] 我怎么说
[961.22-966.88] 这话你就像一个癌症末期的病人在问我
[966.88-969.48] 是不是这个偏方拿到以后我就能活下去
[971.18-974.14] 你说实话太残忍了
[974.14-975.06] 因为他已经绝望
[976.68-979.52] 想问股市能反弹到多少点很简单
[979.52-981.18] 我问你30年以前的股市
[981.64-982.64] 是多少点
[982.64-985.44] 40年以前的股市多少点
[985.44-987.64] 40年以前没股市对吧
[987.64-988.64] 零点
[988.64-990.64] 不存在点对不对
[990.64-992.64] 你知道了
[992.64-995.02] 因为他要把中国拿回到
[995.02-996.52] 拉回到他青年时代
[996.52-998.30] 他剪辑过记忆的时代
[998.30-1000.18] 就是今天北朝鲜的那个状态
[1000.18-1001.48] 就是他完全剪辑记忆
[1001.48-1003.98] 他以为中国一直是中等发达国家
[1003.98-1006.48] 即使他年轻时候受过一些罪
[1006.48-1008.14] 那也不是说这个制度的问题
[1008.14-1010.40] 而是发展的阶段造成的
[1010.40-1011.48] 中国指挥的问题
[1011.48-1012.86] 中国只要保持那个状态
[1012.86-1014.24] 其实比今天发展的还好
[1015.72-1017.14] 他真的相信了
[1017.14-1018.14] 所以他会往回走
[1018.14-1019.78] 往回走会发生什么
[1019.78-1021.10] 你们没有治理过国家
[1021.10-1022.52] 你们还没有治理过公司吗
[1022.52-1023.44] 没治理过公司
[1023.44-1026.48] 还没有治理过一个小组吗
[1026.48-1028.52] 如果这一小组的组员都是一群傻逼
[1028.52-1030.48] 都在那里边演戏
[1030.48-1032.32] 每天做一些用不着的东西
[1032.32-1034.36] 这组还能开得了锅吗
[1034.36-1035.68] 就算一个饭馆的话
[1035.68-1037.60] 这么玩这饭馆能不黄吗
[1037.60-1039.14] 整天扯鸡巴蛋
[1039.14-1040.48] 没有一个正经人
[1040.48-1042.98] 制定一个正常一点的菜单
[1042.98-1044.78] 顾客能来吗
[1044.78-1047.64] 所以中国我们必须反思
[1047.64-1049.02] 必须警醒
[1049.02-1052.40] 当他们在向疯人院方向发展的时候
[1052.40-1054.32] 我们至少可以置身事外
[1054.32-1056.82] 不要在那个疯人院第一线冲
[1056.82-1058.86] 所以有观众朋友说
[1058.86-1061.86] 老王你这又成反贼频道了
[1061.86-1063.14] 我真的不反
[1063.14-1064.72] 我真的不反共
[1064.72-1065.86] 我不反共
[1065.86-1067.48] 因为我为什么不反共
[1067.48-1070.36] 因为我也想不到谁能替代共啊
[1070.48-1071.72] 我不是反贼频道啊
[1071.72-1074.44] 那个各位国安弟兄们
[1074.44-1075.60] 我真的不反贼频道
[1075.60-1076.68] 别盯我
[1076.68-1079.14] 我这个是一个他妈逼的反思频道
[1079.14-1079.94] 我不反共
[1079.94-1081.68] 我反思行不行
[1081.68-1084.98] 我是在反思我自己的人生成长的历程
[1084.98-1087.06] 我跟他妈逼反共一点关系都没有
[1087.06-1088.86] 谁你妈逼爱上台
[1088.86-1090.14] 跟老子一点关系都没有
[1090.14-1092.64] 你们那个基本党代会全票有选
[1092.64-1093.28] 谁了
[1093.28-1094.78] 跟我一点关系都没有
[1094.78-1096.06] 我压根不关心
[1096.06-1097.36] 不跟你们玩了
[1097.36-1099.78] 因为我知道你们都是他妈一群傻逼
[1099.78-1101.40] 谁在互相骗对方
[1101.40-1102.12] 对不对
[1102.12-1103.32] 我不跟你们玩行吗
[1103.32-1104.44] 我反思自己
[1104.44-1106.66] 我怎么反你们阿哥比反贼频道
[1106.66-1109.40] 我反思频道
[1109.40-1112.62] 就是说我们到底缺什么呢
[1112.62-1115.02] 我觉得我们缺一个什么呢
[1115.02-1116.40] 我们缺一个基础教育的
[1116.40-1119.74] 这个公民教育和逻辑教育这两门课
[1119.74-1122.54] 我们中国的中小学真的应该
[1122.54-1124.70] 重点教这两门课
[1124.70-1125.70] 文科的课
[1125.70-1127.44] 社会学的课
[1127.44-1129.74] 公民什么是公民
[1129.78-1131.16] 界限在哪
[1131.16-1132.66] 家庭的界限在哪
[1132.66-1134.36] 家族的界限在哪
[1134.36-1136.16] 父母的界限在哪
[1136.16-1138.82] 那父母能不能看小朋友的日记
[1138.82-1140.40] 是不是权利
[1140.40-1144.24] 所以人权公民权这个东西要从小教
[1144.24-1146.44] 过马路为什么要让车
[1146.44-1148.24] 车在什么时候必须让人
[1148.24-1150.70] 这他妈完全没有人教
[1150.70-1153.74] 你不要把人家的马桶做成那个样子
[1153.74-1159.54] 你不要他妈的站在马桶圈上大便好吗
[1159.78-1161.16] 马桶是有环的
[1161.16-1162.70] 你坐在那个垫上好吗
[1162.70-1168.48] 你为什么要两只腿像他妈的武功高手的骑马蹲档式一样
[1168.48-1171.74] 站在那个上面蹲着呢
[1171.74-1174.36] 这些东西都是要学校教的
[1174.36-1176.08] 你不教他不知道廉耻
[1176.08-1178.28] 因为他无知啊
[1178.28-1180.78] 公民教育还有就是逻辑教育
[1180.78-1181.98] 逻辑太重要了
[1181.98-1183.54] 什么叫因果
[1183.54-1184.36] 什么能反着推
[1184.36-1185.98] 什么不能反着推
[1185.98-1188.20] 什么是逻辑的集集合概念
[1188.20-1189.32] 全都没有
[1189.78-1191.16] 为什么没有
[1191.16-1193.08] 我后来想了想为什么没有
[1193.08-1194.28] 他故意的
[1194.28-1194.98] 你聪明了
[1194.98-1196.20] 你不是傻逼了
[1196.20-1197.40] 不是傻逼了
[1197.40-1200.40] 他怎么坐在你身上拉屎撒尿
[1200.40-1201.20] 怎么奴役你啊
[1201.20-1203.08] 所以他故意的
[1203.08-1206.90] 而作为台湾这样的得天独厚条件的
[1206.90-1207.86] 有一海之隔
[1207.86-1209.54] 共产党扑不了你们
[1209.54-1210.54] 强奸不了你们
[1210.54-1212.58] fuck不了你们的这样的地方
[1212.58-1214.58] 一旦知道大陆的情况之后
[1214.58-1218.62] 要么向国民党蓝营当年过去当天龙人
[1218.62-1219.08] 哎呀
[1219.08-1219.78] 去小老
[1219.78-1222.36] 老婆在古北弄台北小台北
[1223.58-1225.66] 要长安街左转的牌子
[1225.66-1226.62] 要么呢
[1226.62-1229.40] 没这个的贴不上的这个的就觉得恶心
[1229.40-1230.62] 恶臭
[1230.62-1231.66] 所多玛
[1231.66-1232.48] 讽坑
[1232.48-1233.16] 挖地
[1234.16-1234.78] 支那
[1236.02-1237.20] 恨
[1237.20-1238.02] 自恨了就开始
[1238.02-1239.86] 因为你跟他一样
[1239.86-1241.74] 就是许思多话三右大草丸
[1241.74-1242.28] 我操
[1242.28-1243.86] 你他妈也是三右
[1243.86-1244.74] 刘仲廷骂废了
[1244.74-1246.12] 刘阿姨你照镜子吗
[1246.12-1247.66] 刘阿姨你的武德充沛吗
[1247.66-1248.86] 你的雄性激素够吗
[1249.78-1251.44] 刘阿姨你别不爱听
[1251.44-1252.02] 为什么呢
[1252.02-1253.74] 这就是问题的关键嘛
[1253.74-1256.32] 就是你实际上是在骂你自己
[1256.32-1258.74] 最后的结果就是自恨
[1258.74-1262.12] 最后就是人格逃避型的逆向歧视
[1262.12-1263.54] 就是我本来是中国人
[1263.54-1264.20] Chinese
[1264.20-1266.12] 我真的是Chinese
[1266.12-1266.74] 但我不承认
