[0.00-0.68] 大家好
[158.12-160.16] 如果不是因为您说起他
[160.16-161.80] 我虽然关注也不会看他的节目
[161.80-163.92] 我从心里边就认为他是一个骗子
[163.96-165.72] 只是希望年轻人不要再受骗了
[165.72-166.60] 我是75年的
[166.64-168.56] 我们同龄我也75年了
[168.64-170.80] 属兔的
[173.28-174.32] 先生也好
[174.36-175.00] 太太也好
[175.00-176.80] 你们标注您的性别
[177.84-178.68] 您是且家
[178.68-180.28] 所以您第一眼就能识破
[180.28-180.32] 啊
[180.32-182.12] 老宅在玩什么段位吗
[182.12-184.52] 都摆在这9段棋手
[184.56-186.04] 看6段棋手下棋
[186.04-188.08] 一看就知道他的几斤几两
[188.12-190.92] 但是初段棋手是看不出我们之间的区别的
[190.96-194.16] 初段棋手觉得6段棋手是天神
[194.20-196.00] 因为他讲的特别贴近自己
[196.04-198.32] 而9段棋手给初段棋手
[198.32-200.44] 你下你讲不了棋
[200.64-202.32] 初段棋手会觉得你不会下
[202.32-204.52] 你怎么云里雾里的说不清楚呢
[205.36-206.84] 因为你已经离他太远了
[207.04-209.32] 所以山英特别吸脑残
[209.76-210.28] 中华
[210.28-212.56] 大地960万平方公里上
[212.56-214.80] 95%以上是脑残
[215.80-216.64] 真的没有办法
[216.64-217.84] 这就是客观事实
[218.76-220.96] 剩下5%里边是精英
[221.00-224.28] 而且这5%里边的精英里边有极其极其的精英
[224.28-225.24] 世界级的
[225.80-228.60] 但是不幸的是这5%的世界级精英
[228.84-230.84] 现在基本上能润的都润了
[230.88-234.48] 我提醒您的孩子最好不要再在北京上学了
[234.52-235.72] 不是因为别的原因
[235.72-237.36] 就是因为我刚才说的
[237.40-238.48] 他在北京上学
[238.52-240.24] 即使他上的是国际学校
[240.24-242.76] 即使他上的是教育学校
[242.80-245.20] 他的三观也会受到摧残
[245.36-247.48] 你真欺你的孩子的话
[247.48-249.64] 你为什么要让他受这个摧残呢
[249.76-251.12] 尽早让他出来
[251.12-252.64] 这才是正确的选择
[253.40-256.16] 至于你的2万亩林地被抢走
[256.16-258.00] 你进新库种的这些东西
[258.00-259.16] 我又何尝不是
[259.44-262.84] 老王在中国没有买过私人飞机
[263.12-265.12] 我公司的劳斯莱斯宾利
[265.40-266.88] 我自己从来不做
[266.88-268.32] 都是接待客人做的
[268.72-270.04] 我出差都是买精英的
[270.04-271.08] 经济舱的票
[271.12-272.80] 因为我不买经济舱的票
[272.80-275.60] 我的那些副总们都会买投资舱的票
[276.24-279.36] 因为我也当时想是打造一个百年老店
[280.24-281.76] 所以我从来不骗人
[281.76-283.28] 从来不骗老百姓
[283.52-286.32] 银河资本做的重组全都是闭环项目
[286.44-289.80] 最终都是40%50%的退出
[289.84-293.88] 炒股的好多股民老股神都认为我够意思
[293.88-295.24] 因为玩了我的票
[295.24-296.16] 我只要重组一次
[296.16-297.32] 他们至少能三倍
[297.36-299.08] 最多一次他们7倍走人
[301.16-301.56] 最后
[301.56-302.24] 我是什么下场
[302.24-303.76] 还不是坐在这儿钓鱼
[304.20-305.64] 要不是老宅鸡我
[305.64-307.48] 我看他要干坏事
[308.00-309.32] 我根本不会出来
[311.44-313.40] 所以这就是命
[313.80-314.28] 国运
[315.24-319.24] 正因为那95%的脑残
[319.40-321.96] 带着浓重的戾气和煞气
[322.28-324.80] 所以上天才降下来一个习近平
[324.84-326.04] 收割他们
[326.28-327.60] 看过水浒传吗
[327.60-330.76] 第一回叫庞泰是物走妖魔
[331.32-333.28] 庞泰是一下子推翻了一个大碑
[333.32-336.28] 背下边放出来了一个黑盒子
[336.28-338.44] 里边一股妖风出去
[338.44-340.96] 36天刚72地上
[341.00-342.60] 投生到中国的各地
[342.60-344.12] 形成妖魔投胎
[344.12-345.96] 断送打送的江山
[346.00-347.48] 说的就是这段历史
[349.08-351.84] 这些妖魔鬼怪断送大宋江山
[351.84-353.16] 都是有使命的
[354.32-357.08] 老习之所以逢凶化吉
[357.12-358.92] 一定是有使命的
[358.96-361.08] 那么多人想干他都干不倒他
[361.12-362.76] 他是带着使命来的
[363.32-365.20] 为什么使命这么强
[365.24-368.28] 因为你95%的人是这样的人渣
[368.32-370.00] 这样的张献忠
[370.24-371.48] 你不就得背着这东西
[371.48-373.20] 来大洪水洗涤你一次吗
[373.20-374.84] 不过大家都人人向善
[374.88-375.96] 老习这样的人
[375.96-377.24] 他土壤都没有
[377.48-378.48] 是不是这道理
[378.52-380.40] 民主自由水到渠成
[380.44-381.72] 如果到不了的话
[381.72-385.24] 那不就是现在眼看着要走的下场吗
[385.40-386.48] 我们的钱被抢
[386.48-388.12] 但是我们至少命还都在
[388.16-389.20] 谢天谢地吧
[390.96-392.72] 安德鲁王老师好
[392.72-393.16] 我是从
[393.16-394.76] 翟复那边吸过来的粉
[394.80-396.08] 大老王出现前
[396.08-397.88] 翟复的视频每期必看
[397.92-399.44] 特别是前期视频
[399.44-401.52] 感觉认知层次比较高
[401.68-404.20] 对于其中夹杂的很多瞎扯的内容
[404.20-405.32] 大老王点破之前
[405.32-406.92] 我一直深信不疑
[406.96-408.20] 但是点破之后
[408.20-409.64] 通过逻辑两相对比
[409.64-410.76] 高下立判
[410.80-411.88] 不禁感慨
[411.92-412.76] 戳穿谎言
[412.76-414.04] 确实需要同等级别
[414.04-416.08] 或者更高级别的对手来干
[416.12-417.76] 以您的视频质量
[417.76-419.88] 肯定是应该比翟复初期
[419.92-421.56] 涨粉速度快很多的
[421.60-423.12] 但是比我预期要慢一些
[423.12-424.52] 我猜测一个原因
[424.56-426.08] 是不太好找到您
[427.04-428.40] 我是从翟复提到您
[428.40-429.68] IQ比他高5倍
[429.72-430.76] 就有点好奇
[430.76-432.96] 但是圈外对您并不熟悉
[433.00-433.64] 想搜
[433.64-435.04] 但只知道名字的音
[435.04-436.08] 搜了几次
[436.08-437.72] 未能成功就放弃了
[437.76-440.32] 而且您的账户跟真名还不一样
[440.32-441.72] 增大了搜索难度
[441.76-444.16] 后来几天又提到了几次
[444.20-445.76] 才激发更大的好奇心
[445.76-447.20] 才找到了您的账号
[447.24-449.16] 我猜测很多翟粉
[449.20-451.56] 肯定也跟我经历了同一个情况
[451.60-453.04] 但有点好奇
[453.04-453.08] 但有点好奇
[453.08-453.12] 但有点好奇
[453.12-454.92] 但是没能成功的追踪到
[455.52-457.12] 不然随便看一两个视频
[457.12-458.48] 肯定能分出优劣
[462.04-462.84] 是这样
[463.12-464.44] 我也不是很着急
[464.48-465.48] 慢慢涨就行了
[465.48-467.80] 现在这样一天涨一两百个也挺好的
[469.08-469.84] 着什么急
[470.48-471.88] 谢谢你对我的建议
[473.12-474.52] 最近您几期视频
[474.52-476.52] 分享了您对玄学的一些经历
[476.92-478.68] 特别是高位灵体的描述
[478.68-479.88] 颠覆了我对世界的认知
[479.88-481.00] 我从小接受的教育
[481.00-481.84] 就是没有鬼神
[481.84-482.84] 但是近几年的经历
[482.84-483.40] 让我明白
[483.40-484.36] 从小接受的教育
[484.36-485.32] 未必是对的
[485.36-486.24] 而且我一直
[486.24-486.84] 认为人类
[486.84-488.56] 肯定不是最智慧的生命体
[488.60-489.92] 而且按照信息守恒
[489.92-490.76] 人死后意识
[490.76-492.60] 应该有个去处才比较合理
[492.64-494.20] 只是我个人一直没有机会
[494.20-495.56] 去接触这样的异能者
[495.56-497.32] 所以我对高位灵体的说法
[497.36-498.48] 并不排斥
[499.56-500.92] 还有个非常现实的问题
[500.92-501.60] 要请教您
[501.60-502.96] 就是如何跟他们相处
[502.96-504.36] 既然他们无处不在
[504.52-506.04] 但是我想如何区分
[506.04-507.12] 他们中的好和坏呢
[507.12-508.64] 而且我有个个人隐私的问题
[508.64-510.08] 比如我以前干一些坏事
[510.08-510.80] 没人知道
[510.80-512.44] 现在我知道这些层次之后
[512.44-514.24] 我就知道他们能看着我干坏事
[514.40-515.16] 另外有个问题
[515.16-516.12] 问题比较好奇
[516.12-516.20] 我
[516.20-518.24] 之前是看天道的
[518.28-520.92] 才有正眼看世界的
[521.24-522.36] 感觉您跟丁元英
[522.36-523.40] 有很多相似之处
[523.40-524.12] 以您的认知
[524.12-524.88] 现在的大佬王
[524.88-526.08] 和当年的丁元英
[526.12-527.64] 认知水平谁高谁低
[527.64-529.16] 丁元英和武台山方丈
[529.16-530.12] 境界谁高
[530.12-531.04] 在您之上的人
[531.04-532.20] 还会有哪些呢
[532.48-533.80] 前段凌允四方杖
[533.80-534.68] 大开山门接近
[534.68-535.40] 西里亚总统
[535.40-536.36] 出乎我的意料
[536.40-538.04] 互联网上从来没有些
[538.08-540.08] 像您这样高水平认知的信息
[540.08-541.80] 以上仅限于个人
[541.80-543.68] 对您的一些疑问
[544.40-545.56] 谢谢您的回答
[546.20-548.72] 高维灵体无处不在
[548.72-549.80] 这句话是对的
[549.84-551.88] 但是他们对你也不感兴趣
[551.92-552.64] 我为你会
[552.64-554.16] 没给观众念出来
[554.16-555.08] 你干的一些坏事
[555.08-556.04] 小坏事的内容
[556.68-558.84] 那些事在高维灵体面前
[558.88-561.36] 就像小蚂蚁搬一个树叶一样
[561.36-562.92] 也许会好奇看一两眼
[562.92-564.48] 但根本不会往心里去
[564.48-566.04] 你放心的跟你老婆干去
[566.36-567.52] 或者跟女人去干去
[567.68-568.80] 或者跟人妖去干去
[568.92-570.20] 人家不在乎的
[570.24-571.52] 你不用想那么多
[571.52-573.24] 你不用有偶像包袱
[573.24-574.36] 你在人家的眼里
[574.36-575.56] 跟蚂蚁差不多
[575.56-576.08] 你算个啥
[576.08-578.24] 你还有像偶像包袱了
[578.24-578.76] 我擦
[578.80-580.56] 你还从此之后就不进女色
[580.60-582.20] 我不卢馆了吗
[583.52-584.40] 你想多了
[584.44-585.72] 你小兄弟你想多了
[588.28-590.52] 再一个就是他们的好和坏善恶
[590.68-591.56] 还是我那句话
[591.56-593.04] 不分好坏
[593.16-594.76] 只分敌我
[594.92-596.44] 你只要不与他们为敌
[596.44-597.60] 他们就不是坏的
[597.64-598.68] 你去招他们
[598.68-599.36] 与他们为敌
[599.36-600.80] 他们就变成坏的
[600.84-601.84] 就像我跟翟山英
[601.84-602.80] 本来我不是坏的
[602.80-604.04] 他在我分头蹦跌
[604.04-605.24] 我马上就变成坏的
[605.28-605.84] 而且变成
[605.84-606.08] 他的
[606.08-606.68] 恶梦
[606.68-608.08] 他都快被我逼疯了
[608.12-609.00] 其实我看了他
[609.00-609.88] 我也挺心疼他的
[609.88-611.04] 我不会再逼他了
[611.04-612.32] 先缓一缓
[612.32-613.44] 养一养他
[613.48-614.80] 所以记住我这句话
[615.16-615.76] 敲黑板
[615.76-616.48] 画重点
[616.52-618.04] 真理不分善恶
[618.04-619.32] 只分敌我
[620.48-623.72] 刚才网友问哈马斯和以色列
[623.72-624.72] 也是一个道理
[624.76-627.52] 老王绝不是支持哈马斯和马剧的
[627.56-629.52] 但我也不支持以色列
[629.56-630.04] 为什么
[630.20-631.48] 我认为他们之间
[631.48-632.20] 彼此之间
[632.20-633.04] 互杀50年
[633.04-634.80] 就已经分不出善恶来了
[635.36-635.84] 杀了
[635.84-636.68] 50年
[636.72-637.80] 多少个轮回了
[637.80-639.36] 都纠缠在一起了
[639.80-641.48] 就像沙特王子所言
[641.64-643.12] 一个错误加另一个错误
[643.12-644.40] 并不等于正确
[644.88-647.56] 所以你谴责巴勒斯坦
[647.60-648.96] 或者谴责以色列
[648.96-650.52] 并不等于你正确
[650.92-652.32] 作为那一片土地
[652.32-654.64] 因为他们之间的恩怨情仇
[654.64-655.88] 只有上帝才能解开
[655.88-657.12] 我们这种凡夫俗子
[657.12-658.56] 根本就解不开
[658.72-660.84] 所以我们要保持敬畏之心
[660.88-663.60] 把话语权让给那些有话语权的人
[663.60-664.80] 还瞎这么表态
[664.80-665.60] 还瞎站队
[665.60-665.80] 还别说话
[665.80-667.12] 彼此之间结仇
[667.12-668.56] 还要逼着别人表态
[668.56-670.48] 你们都是一群红卫兵
[670.52-672.36] 都是极其不成熟的灵魂
[672.60-673.80] 巴乙之间的问题
[673.80-674.56] 作为中国人
[674.56-676.12] 完全无权表态
[676.20-677.48] 你解决不了怎么办
[677.48-678.56] 你找不到怎么办
[678.56-680.92] 你们自己彼此之间相爱相生
[680.92-681.96] 相杀相克
[682.00-682.96] 跟我们没关系
[682.96-684.56] 你们关上门自己杀完
[684.60-685.28] 杀完之后
[685.28-685.96] 杀累之后
[685.96-687.32] 你们自然会有结果
[687.36-689.40] 我们既不给这方武器弹药
[689.40-690.92] 也不给那方武器弹药
[690.96-692.04] 从舆论上来说
[692.04-692.80] 谁杀小孩
[692.80-693.96] 我们就谴责谁
[693.96-694.80] 骂谁
[695.04-695.56] 明白吧
[695.56-696.48] 就这个道理
[697.76-698.92] 至于我跟丁元英
[699.32-700.88] 天道那本书我看了看
[701.20-703.80] 因为我在没退休的时候
[703.80-704.68] 在深圳
[704.72-706.32] 重组一些珠宝企业的时候
[706.32-707.92] 那些珠宝企业老板就说
[707.96-709.24] 我像丁元英
[709.36-711.76] 所以我就认认真真的看了天道
[711.92-713.84] 他那本小说叫遥远的救世主
[713.84-714.76] 不叫天道
[714.80-715.60] 拍了电视剧
[715.60-716.56] 改成天道了
[718.28-719.52] 我觉得他的作者
[719.52-721.68] 受于局限于他的阅历所限
[721.68-723.84] 他写的东西相对来说比较浅
[723.88-724.72] 在我的眼里
[724.72-725.28] 他写的
[725.28-727.96] 就像他一个五段棋手写围棋
[728.20-729.40] 我可能是八段九段
[729.40-730.84] 看到五段棋手写的围棋
[730.84-731.80] 微微一笑
[732.00-732.80] 嗯
[732.84-734.08] 也就那么回事
[734.40-735.72] 层次太低了
[735.76-736.92] 丁元英那个level
[736.92-738.80] 根本不是武台山一个道长
[738.80-739.92] 就到这个位置
[739.96-742.48] 根本不是一个什么小女警察
[742.48-744.64] 就跟他能做对手的
[745.00-746.60] 所以这样的东西
[746.72-747.80] 我也没法评价
[747.84-749.56] 我不是说丁元英本身不够高
[749.68-750.80] 丁元英本身
[751.76-754.96] 他是一个六段棋手心里边想的天神
[755.28-757.32] 就他没写到位
[757.36-759.08] 如果我有机会我去写的话
[759.08-760.72] 我可能会比他写的好
[761.08-764.40] 因为我心里的天神可能就接近天神本尊
[764.84-767.40] 所以没有办法去相比
[767.44-770.36] 至于武台山方丈也好
[770.36-771.68] 林尹寺方丈也好
[771.72-773.48] 我给你讲一句话
[773.76-776.44] 所有的宗教只要涉及到了人
[776.60-777.92] 就是人间的故事
[777.92-779.40] 根本与神无关
[780.28-782.40] 全是人和人之间的东西
[782.44-784.48] 跟一个大公司没有什么区别的
[784.48-786.68] 区别只是他们拿着佛经
[786.72-787.52] 披着袈裟
[787.52-790.28] 还是拿着圣经念着耶稣
[790.44-791.44] 就这点区别
[791.48-793.72] 还是拿着古兰经念着安拉
[793.72-794.68] 就这点区别
[794.72-796.16] 剩下的爱恨情仇
[796.16-798.36] 全是人世间的那些俗套
[800.90-802.26] 吴明L先生
[802.26-803.10] 王老师您好
[803.10-804.22] 我们应该是同名人
[804.22-805.38] 我12年八九级的
[805.38-806.86] 六四那年上了大学
[806.98-809.02] 真的要感谢翟老英胡言乱语
[809.02-810.10] 把您寄出来了
[810.14-812.18] 让我见识到您的才华口学
[812.18-813.66] 口才学识
[814.02-815.30] 西校怒网接文章
[815.30-816.38] 如今在国外
[816.38-817.86] 十多年国内有公司
[817.86-819.54] 现想投资海外
[819.54-820.94] 开拓海外市场
[821.06-822.54] 但公司有国资投资
[822.54-823.86] 需要审批很麻烦
[823.90-824.74] 请问王老师
[824.74-826.46] 如何合法的转移资产
[826.46-828.86] 另外公司预计几年内能上市
[828.86-830.78] 您认为国内股市上市
[830.78-831.78] 还有机会吗
[832.82-834.30] 还有海外的有资金
[834.30-835.46] 想置换国内股权
[835.46-836.70] 找我的海外公司
[836.74-837.74] 怎么合法操作
[837.74-839.34] 非常期待您的指点
[839.78-841.10] 吴明先生不让我提他的名
[841.10-841.82] 我也不想
[841.86-843.02] 我也不念你的名
[843.46-844.70] 你如果有国资参股
[844.70-846.18] 你可不能瞎转移资产
[846.38-848.26] 那你转移公司的资产
[848.42-849.34] 我指的是公司资产
[849.34-850.58] 你个人资产想怎么转
[850.58-851.18] 怎么转
[851.22-853.66] 你可不能瞎转移公司的资产
[853.70-856.06] 如果你想转移公司的资产
[856.06-857.58] 你就开董事会股东会
[857.62-859.50] 走严格的股东会程序
[859.54-860.94] 大笔的分红
[860.98-862.38] 分出来的红拿了税
[862.38-863.74] 这就是你合法的个人资产
[863.74-864.66] 这可以往外转
[864.66-865.22] 除此之外
[865.22-867.06] 坚决不能走账
[867.10-867.86] 一旦走账
[867.86-870.58] 从公司走账出了境
[870.62-872.46] 将来想查你分分钟的事
[872.46-874.06] 经侦公安就可以立你的案
[874.06-874.74] 把你抓起来
[874.74-876.14] 判你个十年八年的
[876.38-878.62] 你任何一个商业敌人
[878.62-880.22] 都可以通过这个小杠杆
[880.26-881.14] 把你送进去
[881.14-882.70] 就一定要谨慎从事
[882.70-884.38] 因为你有了国资入股
[884.38-885.86] 它哪怕只有1%
[885.86-887.22] 你都不能再这么干了
[888.74-890.14] 如果你的资金已经合法
[890.14-891.42] 转移到你个人的名下
[891.42-892.70] 那么你买一张飞机票
[892.70-893.58] 办个签证
[893.62-894.54] 飞到加拿大
[894.54-895.34] 美国
[895.34-896.30] 新加坡
[897.02-899.46] 找一个足够级别的朋友
[899.54-902.02] 找一个对华人友好的银行
[902.02-902.94] 开个户
[902.98-903.66] 不是汇丰
[903.90-905.50] 千万别在汇丰银行开户
[906.38-908.34] 你如果在加拿大的话
[908.34-909.58] 前四大行
[909.70-911.02] RBC
[911.06-912.66] 丰业
[913.30-916.34] TD和BIMO都可以
[917.34-918.38] 开户之后
[918.38-920.06] 你可以找这边的换汇公司
[920.06-921.30] 把你的钱一笔换过来
[921.30-922.58] 或者多笔换过来都可以
[922.58-924.14] 这在这边都是合法的
[924.50-925.42] 没那么复杂
[925.46-926.66] 换钱没那么复杂
[926.66-928.54] 大量的换汇公司
[928.78-929.66] 做这个生意
[929.66-930.62] 他们都是专业的
[930.62-932.58] 你只要不一次让他们换太多
[932.70-934.34] 如果一次只是几百万人民币
[934.34-935.30] 什么风险都没有
[935.30-935.90] 基本上
[936.38-939.50] 海外资金想置换国内股权
[939.54-940.94] 那当然更好了
[940.94-942.70] 你都不用换汇了
[942.70-944.22] 你就直接让他把海外公司
[944.22-944.94] 把海外的钱
[944.94-946.74] 打到你海外的个人账号上
[946.94-948.54] 然后因为你还是个外国人
[948.54-950.10] 所以你这边的账号接到钱
[950.10-951.18] 你在加拿大接到钱
[951.18-953.02] 你还不用交税
[953.18-954.50] 加拿大这比美国好
[954.50-955.78] 美国追税会追疯了
[955.78-956.98] 你全球追税
[956.98-958.38] 加拿大没有那么强大
[958.42-959.42] 也没有那么在乎
[959.42-960.74] 所以你作为一个外国人
[960.78-962.18] 你接个几百万美金
[962.18-963.06] 几十万美金
[963.06-964.62] 银行也不会太在乎你
[965.50-966.22] 别太多
[966.22-966.54] 就行
[966.54-967.90] 别上千万美金就行
[967.94-969.58] 我估计你也没有上千万美金
[969.58-971.22] 你可能也就是百万美金
[971.22-971.98] 这个level
[972.02-974.06] 那么你接到百万美金的level的话
[974.06-974.94] 你不用拿税的
[974.94-978.18] 你就存在你本人名下的银行账户上
[978.22-979.94] 然后你把你国内的股权
[979.94-981.02] 给海外账户
[981.02-982.18] 海外公司
[982.50-983.70] 过户过去就得了
[983.70-984.30] 就这么简单
[984.46-985.10] 这叫对敲
[985.98-987.14] 这就叫对敲
[987.94-988.94] 周兄好
[989.18-991.58] 根据翟副主席视频弹幕搜索到你
[991.58-992.26] 刚好看了
[992.26-993.66] 还侦测了他不少人
[993.70-995.78] 集期一下来节目惊为天人
[995.78-996.10] 你是
[996.10-997.34] 高智商的宅粉
[997.34-998.54] 你不是死宅粉
[999.30-1000.22] 不怕不识货
[1000.22-1001.14] 就怕货比货
[1001.14-1002.46] 只要你上过大学
[1002.50-1003.42] 有过社会经验
[1003.42-1004.34] 一比就出来
[1005.34-1007.02] 上次给我带这种感觉的
[1007.02-1009.54] 还是20多年前的李仲宣
[1009.54-1011.66] 李老师发表在五魂杂志上的
[1011.70-1013.18] 《夜恋行语与权》
[1013.62-1016.06] 李老真是得道高人
[1016.42-1018.14] 他用杂志连载的方式
[1018.14-1019.66] 把他一生经历的拜师
[1019.66-1020.42] 经过武林
[1020.42-1021.06] 义文
[1021.46-1022.50] 内家功法
[1022.50-1023.10] 人生感悟
[1023.10-1023.82] 娓娓道来
[1023.82-1025.86] 后被他外甥徐浩峰讽诫出书为
[1025.86-1026.02] 士
[1026.02-1027.06] 去的武林造福
[1027.06-1029.50] 和影响了无数默学后辈
[1029.50-1031.22] 我就是其中受益者之一
[1031.26-1032.62] 吉州兄吉人天相
[1032.62-1033.30] 福德深厚
[1033.30-1034.94] 一生经历所受资产
[1034.98-1035.90] 资财福报
[1035.90-1037.30] 远非常人所能及
[1037.34-1039.42] 如今愿意把自己的经历所学
[1039.42-1039.86] 所思
[1039.86-1040.54] 像李老一样
[1040.54-1041.10] 唯唯道来
[1041.10-1042.82] 实为广大网友之福
[1042.86-1044.18] 您视频含金量之高
[1044.18-1046.18] 远超现在头部一众YouTuber
[1046.22-1048.34] 理应让更多人知道受益
[1048.38-1050.22] 我想新设一个油管频道
[1050.22-1052.18] 专门搬运您的精华视频
[1052.18-1053.18] 频道名称
[1053.22-1054.58] 想用胸台头像
[1054.58-1055.78] 及真名不知可否
[1055.78-1057.38] 请明示多谢安好
[1057.38-1058.34] 祝秋安
[1058.34-1059.62] 你太可爱了
[1059.62-1060.18] 这叫什么
[1060.18-1061.38] 这哥们叫杨
[1062.74-1063.34] 还是叫什么
[1063.34-1064.02] Steve
[1064.06-1064.90] 叫Steve
[1065.74-1066.62] 哎呀
[1066.94-1068.62] 你倒是真小人
[1069.02-1070.58] 你直接问我可以
[1071.22-1072.74] 唐史老王之智慧
[1072.74-1074.10] 能福泽众生
[1074.14-1075.46] 给你带来收入
[1075.50-1076.42] 何乐不为
[1076.42-1077.42] 但是有一条
[1077.42-1077.90] 有一条
[1078.22-1080.02] 你必须在视频中注明
[1080.02-1080.82] 你是搬运的
[1081.26-1082.38] 你可以用我的真名
[1082.38-1083.74] 你也可以用我的视频
[1083.78-1085.10] 你必须注明搬运
[1085.10-1085.74] 必须注明
[1085.74-1087.38] 原版是老王
[1087.62-1088.78] 可以没问题
[1090.84-1092.00] 尊敬的大老王
[1092.00-1093.80] 我叫杨某
[1093.80-1095.56] 去年刚润到加拿大
[1095.56-1097.36] 自从在推特上关注您之后
[1097.36-1098.32] 一直追到油管
[1098.32-1099.16] 从心里失踪
[1099.16-1100.36] 佩服您的为人
[1100.52-1101.68] 对您的远见卓识
[1101.68-1102.68] 佩服的五体投地
[1102.68-1104.92] 十几年前就能敏锐的
[1104.96-1107.12] 察觉到今天政治经济形势
[1107.12-1108.80] 这种高度的政治敏感性
[1108.80-1111.32] 和对未来的未雨绸缪的规划
[1111.36-1113.00] 凡人只能望其向背
[1113.00-1114.48] 反观如今的一些大佬
[1114.48-1116.52] 或深陷经济下行泥沼
[1116.52-1117.20] 不能自拔
[1117.24-1119.44] 或以边控肉身难以出逃
[1119.44-1121.32] 您不只甩了他们几条街
[1121.32-1123.04] 我现在正在移民的路上
[1123.04-1124.60] 对加拿大的社会经济文化
[1124.60-1125.52] 不甚了解
[1125.52-1127.40] 加上本事普通
[1127.40-1128.60] 打工人积蓄不得
[1128.60-1130.20] 真想真诚请教你
[1130.20-1131.88] 我该在加拿大怎么生存
[1131.88-1133.24] 或做点什么营生
[1133.24-1134.60] 希望您不吝赐教
[1134.60-1135.36] 在此谢过
[1135.36-1137.12] 祝您家庭幸福
[1137.12-1138.32] 再创辉煌
[1138.32-1140.68] 首先恭喜你来了加拿大
[1140.80-1143.44] 走上了人生的康庄大道
[1143.44-1144.60] 溜冠大道
[1144.64-1146.20] 这是你最成功的地方
