[1.87-2.85] 哈喽大家好
[333.63-336.19] 陷入到一个模式的时候
[336.19-338.75] 就是我们投胎过来进入到一个模式的时候
[338.75-340.29] 这个过程中有一个开局
[340.29-341.31] 就是有一个
[341.31-342.85] 开局设置面板
[342.85-346.43] 如果你的开局设置面板很糟糕的话
[346.43-347.45] 那
[347.45-349.75] 我们可以这样下结论
[349.75-353.33] 就是你上辈子肯定不是个好东西
[353.33-356.15] 这种开局面板很糟糕指的是什么
[356.15-356.67] 第一你
[356.97-359.53] 生在了一个非常贫穷的家庭
[359.53-362.35] 而且这个贫穷的家庭呢
[362.35-363.37] 父母
[363.37-365.41] 水平很低很蛙
[365.41-369.25] 就是典型的五浊恶势的家庭
[369.25-373.35] 你的父母生你更多的原因是因为生理原因
[373.35-376.43] 而不是因为他们成熟到能够做父母
[376.43-378.73] 所以这种情况的原生家庭
[378.73-380.77] 大家可以自我对号入座
[380.77-383.33] 你基本上上辈子不是个好东西
[383.33-384.61] 肯定没干好事
[384.61-386.15] 第二呢
[386.15-387.43] 你是抱养的
[387.43-389.73] 就是你不是你父母亲生的
[389.73-392.03] 你是被抱了
[392.03-392.81] 被抱来的
[392.81-395.37] 给别人家续南丁续香火
[395.37-398.43] 那你上辈子没做好事
[398.43-400.75] 这基本上就可以这么判断
[400.75-402.03] 你要说有什么道理
[402.03-402.79] 没有什么道理
[402.79-404.59] 玄学东西不需要有道理
[404.59-407.39] 这更多的是一种归纳和总结
[407.39-408.67] 它是一种规律
[408.67-410.99] 或者还有一种情况就是
[410.99-413.03] 特别典型的就是
[413.03-414.83] 你这一生没有孩子
[414.83-415.33] 就是
[415.33-417.37] 所谓的被动丁克
[417.37-419.69] 就是小夫妻俩也好老夫妻俩也好
[419.69-420.97] 都想要孩子
[420.97-425.05] 但是就是由于天生的一些原因没有孩子
[425.05-426.33] 而且呢
[426.33-427.87] 这种没有孩子的办法呢
[427.87-430.69] 无法通过科技的手段加以解决
[430.69-432.49] 当然你又不可能去分开
[432.49-434.27] 因为两个人还深爱着对方
[434.27-437.09] 这种情况基本上也是因为你前世的
[437.09-439.13] 孽缘
[439.13-440.17] 做的不好的事
[440.17-443.23] 累积到了今天的这种积分
[443.23-445.29] 当然还有些其他情况大家可以补充啊
[445.33-446.35] 可以开动脑筋
[446.35-449.43] 这三个情况是典型的前世恶业的今生积分
[449.43-452.25] 前世恶业的今生积分是可以
[452.25-454.81] 通过本事自己的努力和觉悟
[454.81-456.59] 加以迅速
[456.59-458.13] 并且有效的改变
[458.13-459.41] 不需要什么大师
[459.41-462.23] 点化你自己就可以点化自己
[462.23-464.79] 怎么去点化大家听我说说
[464.79-467.35] 第一呢遇到这种情况的时候
[467.35-471.95] 你开始在你的人生局面中在你开局的时候
[471.95-474.25] 你会无来由的
[474.25-475.29] 对某个人的
[475.29-477.59] 或者某类人
[477.59-479.13] 或者某类事情
[479.13-481.17] 无来由的有无名之火
[481.17-482.21] 你不知道为什么
[482.21-483.49] 这是天生的啊
[483.49-484.51] 不是说
[484.51-487.07] 那个人那种人或者那一类人伤害过你
[487.07-487.83] 不是
[487.83-489.63] 比如说
[489.63-491.17] 你见到
[491.17-493.73] 某一个姓氏的人
[493.73-495.77] 或者说你见到
[495.77-497.81] 某一个类型的人
[497.81-499.61] 你天生就反感
[499.61-501.65] 就想弄死他
[501.65-503.97] 但是你知道这东西不对呀
[503.97-505.25] 那你你又不知道
[505.25-505.77] 为什么
[505.77-506.53] 所以呢你
[506.53-507.81] 因为幼小的你
[507.81-511.13] 这种情况发生和发现一般都是
[511.13-513.45] 20岁之前你就有这种感应了
[513.45-517.03] 至少是你在30岁之前你肯定这种感应非常强烈
[517.03-519.07] 比如说你上学的时候遇到的同学啊
[519.07-522.41] 或者你工作之后遇到的这种朋友同事
[522.41-523.69] 那这种情况是为什么
[523.69-526.25] 这种情况就是你跟这一个姓氏
[526.25-528.55] 或者这一个类型的人
[528.55-529.31] 在
[529.31-530.33] 上一世
[530.33-534.17] 或者在你本一世你的前一世记忆的过程中
[534.17-535.21] 你们有过溯源
[535.25-537.05] 有过不好的事情
[537.05-538.07] 我举个例子
[538.07-540.37] 比如说你恨某一个姓的人
[540.37-542.41] 你很可能是抱养的
[542.41-543.95] 如果你是抱养的话
[543.95-547.53] 那个姓氏的人就是你亲生父母的
[547.53-549.07] 姓氏
[549.07-550.09] 你已经忘了
[550.09-552.65] 因为那个时候扔掉你的时候你可能只有
[552.65-553.43] 满月
[553.43-554.45] 刚过满月
[554.45-555.99] 你并没有记忆
[555.99-556.75] 但是
[556.75-559.31] 大家知道满月的小孩
[559.31-561.37] 他实际上他懂
[561.37-564.95] 他能够知道形式对自己不利
[564.95-565.97] 那这些
[565.97-567.25] 当时他的
[567.25-570.07] 反应和记忆都是他的本能道斯系统
[570.07-571.61] 投胎的时候带过来的
[571.61-574.43] 这个本能会和他的前意识
[574.43-576.73] 柔和在一起压到他的记忆
[576.73-578.01] 记忆层面深处
[578.01-579.79] 等他到两三岁以后
[579.79-581.33] 正式有了人界知识
[581.33-582.61] 有了正式的
[582.61-584.91] 显意识的记忆之后呢
[584.91-587.23] 这个潜意识的记忆就像
[587.23-589.01] 地层下的化石和石油一样
[589.01-590.29] 压进去了
[590.29-591.07] 他不知道
[591.07-592.09] 他也看不见
[592.09-594.91] 只有通过催眠这类的手段或者
[594.95-596.99] 三血手段才能调动出来
[596.99-599.05] 或者在死亡之后他才能调动出来
[599.05-599.81] 但是
[599.81-602.37] 正常情况下你没有这种机缘巧合的话
[602.37-603.65] 那你就调动不出来
[603.65-607.49] 那调动不出来他又会体现在你的行为模式上
[607.49-610.31] 所以呢就是这种脱序的行为模式
[610.31-611.85] 包括有一些
[611.85-614.41] 很很奇怪的恋物癖
[614.41-616.19] 恋兽癖
[616.19-618.25] 和很奇怪的性癖
[618.25-619.79] 都是这个原因
[619.79-622.35] 比如说天生的同性恋
[622.35-623.63] 就是这个原因
[623.63-624.65] 就是这种
[624.65-625.67] 典型的这种原因
[625.67-627.21] 那天生的同性恋是什么情况
[627.21-627.97] 就是
[627.97-630.03] 他根本不是一个男人
[630.03-632.33] 或者根本不是一个女人
[632.33-634.37] 只不过由于这个
[634.37-636.69] 投胎的过程中出了错误
[636.69-637.97] 给他弄错了
[637.97-642.31] 给他装到一个女人身体里或者装到一个男人身体里了
[642.31-646.15] 你想他潜意识是个男人或者女人
[646.15-648.45] 但是他潜意识里面所有的东西
[648.45-651.79] 所有记忆所有的DNA全是相反的
[651.79-654.61] 所以这一生就注定的痛苦
[654.65-656.95] 因为你这个玩意不通则痛嘛
[656.95-659.51] 他这玩意扭住了扭曲了
[659.51-662.07] 那还有一种情况是什么情况呢
[662.07-663.09] 就是
[663.09-665.15] 就是你父母做的错事
[665.15-667.19] 他会显化在孩子身上
[667.19-668.73] 就所谓的报应
[668.73-669.49] 报应在你身上
[669.49-671.55] 但你不知道因为这事不是你做的
[671.55-673.59] 是跟你很熟悉的
[673.59-674.87] 你们有姻缘的人
[674.87-675.65] 这些人
[675.65-678.97] 有联系非常强的人
[678.97-680.51] 他们做了不好的事情
[680.51-682.05] 那你呢并不知道
[682.05-683.07] 而这个世界上
[683.07-684.61] 而我们现实世界上
[684.65-688.23] 真相并不意味着
[688.23-691.31] 他跟你的关系近你就能知道
[691.31-693.09] 很多时候
[693.09-695.15] 非常多的时候记住我的话
[695.15-698.47] 你最亲的人最信任你的人
[698.47-703.33] 相反他会在最基本的事上隐瞒你
[703.33-706.41] 这说出来的话大家可能心里面非常难受
[706.41-706.93] 非常难受
[706.93-709.23] 因为我那么爱我的父母
[709.23-711.27] 我的父母又那么爱我
[711.27-714.61] 怎么可能在这么基本的事情上去瞒着我呢
[714.65-717.21] 他们完全可以告诉我
[717.21-719.01] 譬如说我是报来的呀
[719.01-721.05] 譬如说
[721.05-723.09] 在我之前
[723.09-725.15] 或者在我之后
[725.15-726.43] 在我幼年的时候
[726.43-728.21] 我的父亲或者母亲
[728.21-729.49] 曾经
[729.49-733.59] 堕胎过我的这一世应该有的兄弟姐妹
[733.59-735.65] 大家懂玄学的知道
[735.65-736.93] 父母
[736.93-738.21] 这是年注
[738.21-738.97] 兄弟
[738.97-740.25] 这是月注
[740.25-741.79] 你的妻子
[741.79-743.33] 妻才这是日注
[743.33-744.61] 这什么意思呢就是你的
[744.65-746.19] 兄弟姐妹
[746.19-749.01] 跟你一起生养长大有共同DNA
[749.01-751.57] 模板的这些人
[751.57-753.87] 在这个世界上在人类这个
[753.87-758.21] matrix这个系统里面模拟现实的系统里面
[758.21-759.49] 跟你的
[759.49-760.27] 距离
[760.27-765.13] 是要比妻子和财物跟你的距离更近一层的
[765.13-768.45] 最牛逼最近的就是给你生命的人
[768.45-770.51] 无论是生你的还是养你的
[770.51-771.27] 然后
[771.27-773.07] 其次一层
[773.07-774.61] 就是你的兄弟姐妹
[774.65-778.49] 那你在兄弟姐妹这一层里面
[778.49-785.65] 是不是你以为的你是独生子女或者你以为的你只有一个哥哥或者只有一个妹妹
[785.65-787.71] 不一定是事实
[787.71-789.49] 你父母告诉你的
[789.49-791.81] 都不一定是事实
[791.81-793.85] 我有大量的案例
[793.85-796.41] 我的大量信箱里面我的朋友
[796.41-798.21] 给我写信
[798.21-800.77] 提到这个问题我一概没有回
[800.77-802.29] 为什么我一概没有回
[802.29-804.61] 因为会颠覆你的三观
[804.65-806.45] 所以我不希望
[806.45-807.97] 是因为外力
[807.97-810.53] 因为我具体某一个回信回的
[810.53-812.85] 有缘在我今天的视频里得到
[812.85-813.87] 没缘就算了
[813.87-815.41] 因为你知道和不知道
[815.41-818.47] 并没有什么太大的
[818.47-821.03] 正负能量之分
[821.03-823.09] 什么呢
[823.09-824.37] 就是你的父母
[824.37-827.17] 如果堕过胎
[827.17-830.25] 他不一定会告诉你
[830.25-831.53] 你知道为什么
[831.53-833.33] 我父母之前
[833.33-834.61] 因为计划生育比如说
[834.65-837.47] 有一个妹妹他们想要儿子要了我
[837.47-838.49] 然后把妹妹堕胎
[838.49-839.51] 这可以告诉我
[839.51-842.85] 而且作为人生的忏悔经常可以重复的
[842.85-843.87] 错
[843.87-845.15] 你想这个情况
[845.15-846.93] 就比较单纯
[846.93-848.47] 你要知道
[848.47-849.75] 中国的
[849.75-854.37] 街头有多少黑诊所是做人工流产
[854.37-856.15] 你就不能
[856.15-860.77] 想到你父母在年轻的时候也荒唐过吗
[860.77-862.55] 你妈妈偷偷的做过堕胎
[862.55-864.61] 那时候甚至你爸爸都不认识他
[864.65-867.97] 这个陈锋的记忆就像我们幼年的时候
[867.97-869.01] 有的小女孩
[869.01-871.57] 被怪叔叔摸过猥亵过
[871.57-873.09] 他并不敢说
[873.09-876.43] 当然也没有对他造成什么物理性的实质伤害
[876.43-879.49] 他就把这个东西压制在记忆深处
[879.49-880.77] 他宁可忘掉
[880.77-883.85] 不是什么大事绝对不会翻出来说了
[883.85-886.93] 因为他觉得难为情嘛不好意思嘛
[886.93-888.45] 羞涩
[888.45-891.53] 人的这个羞涩羞涩不好意思
[891.53-892.81] 他才是最
[892.81-894.61] 最基础的一层层
[894.65-895.67] 防御
[895.67-897.21] 防御护盾
[897.21-899.01] 之上才是什么
[899.01-902.33] 愤怒啊什么名利呀权利呀
[902.33-903.35] 性啊背叛
[903.35-904.63] 那都是在上层
[904.63-906.43] 底层什么害羞
[906.43-907.71] 好害羞
[907.71-908.99] 就是我经常
[908.99-911.03] 破除大家的这个偶像包袱
[911.03-914.11] 就是你明明什么都不是你就是个NBC
[914.11-917.43] 那个屌NBC怎么还那么害羞那么有偶像包袱呢
[917.43-921.01] 不是因为他没有破我职的时候
[921.01-922.81] 都是有偶像包袱的
[922.81-924.61] 不论他多么卑微多么渺小
[924.65-929.25] 他都觉得自己在小树林里偷着撸管那件事
[929.25-930.79] 是天大的
[930.79-932.07] 这个这个这个
[932.07-932.85] 恶行
[932.85-935.15] 就是这样的每个人都这样
[935.15-936.43] 所以你父亲
[936.43-939.75] 是不是在年轻的时候干过胡天胡地的事
[939.75-941.81] 跟别人去留过产
[941.81-943.85] 你母亲是不是被别人
[943.85-946.41] 胡天胡地之后自己去留过产
[946.41-950.77] 或者你父亲在年轻的时候在哪一次无套内设
[950.77-953.83] 性party的时候把别人肚子搞大了
[953.83-954.61] 当然那个
[954.65-958.23] 留产的那个女的也不知道那是你父亲的
[958.23-958.75] 因为他
[958.75-960.79] 年轻嘛他大家
[960.79-964.37] 乱的他就怀孕了怀孕了的时候小孩经常有小女孩
[964.37-966.69] 被父母带去小诊所去
[966.69-967.97] 做人流
[967.97-970.77] 做过妇科医生的应该知道我不是胡说八道
[970.77-973.59] 所以这种情况在人类社会
[973.59-976.15] 五浊恶事中之频繁
[976.15-977.69] 之多
[977.69-981.79] 是远远超过我们所谓正常人的
[981.79-982.81] 这个
[982.81-983.57] 思维的
[983.57-984.61] 我们以为就是
[984.65-990.29] 我们父亲母亲留过产这个事应该是小概率事件
[990.29-991.31] 很小
[991.31-993.09] 十分之一百分之一
[993.09-994.37] 错了
[994.37-996.43] 它是大概率事件
[996.43-999.75] 甚至超过50%
[999.75-1001.29] 如果你的父亲母亲
[1001.29-1007.95] 不是那种严谨的像朱令那种大家闺秀所谓的知识分子严格的家庭出来的
[1007.95-1010.77] 而是这个社会家庭社会层面出来的
[1010.77-1014.35] 那这个可能性又大幅度的增加了
[1014.35-1016.65] 尤其是什么小县城啊农村啊
[1016.65-1018.19] 那个比例就
[1018.19-1019.21] 陡增
[1019.21-1020.23] 到绝大部分
[1020.23-1021.77] 甚至大部分
[1021.77-1024.59] 那这种情况如果你了解的话呢
[1024.59-1026.39] 你就不会在
[1026.39-1032.01] 你算铁板神术啊你算哨子神术在这个过程中
[1032.01-1035.85] 在兄弟宫里面出问题之后纠结了
[1035.85-1039.19] 大量的我的观众来信纠结这个事说
[1039.19-1041.49] 什么都特别准
[1041.49-1042.51] 每一项都
[1042.51-1044.31] 万分之一的概率都能都能
[1044.35-1045.37] 都能
[1045.37-1046.15] 算准
[1046.15-1048.95] 只有在兄弟宫中不准
[1048.95-1052.79] 我明明是独生的或者我明明家里面就两个兄弟
[1052.79-1055.35] 但是铁板神术哨子神术就说我
[1055.35-1056.39] 三个兄弟
[1056.39-1060.99] 那不准我跟师傅就要我要跟师傅抬杠你没算准
[1060.99-1064.07] 师傅一般这情况下说我推你钱
[1064.07-1065.59] 你另请高明吧
[1065.59-1067.39] 这是道德比较高尚
[1067.39-1069.43] 钱财比较充裕的师傅
[1069.43-1072.77] 如果要是那种混不下去的师傅可能就跟你打起来了
[1072.77-1073.53] 坚决不
[1073.53-1074.31] 不会推你钱的
[1074.35-1076.91] 但是呢
[1076.91-1078.95] 师傅没错
[1078.95-1081.77] 铁板神术哨子神术的错误的概率
[1081.77-1083.31] 远远低过
[1083.31-1085.35] 你父母有瞒着你的概率
[1085.35-1087.67] 当然这个时候你又有人
[1087.67-1090.99] 朋友们说我问我父母了没有啊
[1090.99-1094.57] 我再三确定绝对没有
[1094.57-1096.11] 这事能告诉你吗
[1096.11-1098.67] 有你也不可能知道
[1098.67-1101.23] 所以
[1101.23-1102.77] 这就是
[1102.77-1104.05] 有的时候我们生儿
[1104.05-1105.59] 为人的
[1105.59-1107.13] 目光短浅
[1107.13-1109.43] 鼠目寸光的悲哀所在
[1109.43-1112.49] 我们以为我们了解所有的东西
[1112.49-1117.61] 我们重点大学211985
[1117.61-1120.95] 常春藤我们什么都知道我们硕士博士
[1120.95-1124.53] 我们是学科的这个领袖风范
[1124.53-1125.81] 你知道个屁
[1125.81-1129.65] 无知的部分远远超过你知道的部分
[1129.65-1132.47] 你就不要说你对世界的了解了
[1132.47-1134.01] 你连你对自己身边的这个
[1134.01-1137.09] 六亲的了解你都过不了第二关
[1137.09-1139.65] 你搞得清楚你自己父母是谁
[1139.65-1141.17] 你就谢天谢地吧
[1141.17-1143.99] 这个东西现在都有好多是错的
[1143.99-1146.29] 以为爸爸是爸爸
[1146.29-1147.57] 其实
[1147.57-1150.13] 爸爸是隔壁老王
[1150.13-1153.47] 小头爸爸和大头儿子那个动画
[1153.47-1155.77] 太常见了太常见
[1155.77-1157.81] 妈妈没有告诉你
[1157.81-1160.63] 所以这种情况就是六亲
[1160.63-1161.41] 不认
[1161.41-1162.93] 六亲不认
[1162.93-1163.97] 多糊涂
[1164.01-1165.29] 多蠢
[1165.29-1168.11] 居然就是发生在我们身边的
[1168.11-1172.21] 几乎每个人都会遇到的大概率事件
[1172.21-1175.01] 所以在六亲的问题上
[1175.01-1178.61] 你在算命的过程中有可能有机缘的话
[1178.61-1180.91] 就会受到一次颠覆
[1180.91-1182.45] 这一次颠覆
[1182.45-1185.51] 其实应该在你内心深处埋下
[1185.51-1187.57] 怀疑的种子
[1187.57-1191.15] 而不是怀疑算命师傅和铁板神术
[1191.15-1192.43] 那玩意基本上错不了
[1192.43-1193.45] 那是科学
[1193.45-1194.47] 那是套用的公式
[1194.47-1196.27] 不需要请神动鬼的
[1196.27-1199.09] 只要按照公式有个计算器有个算盘
[1199.09-1202.67] 甚至有张草稿纸有个笔
[1202.67-1204.71] 有个先天六十四卦的图
[1204.71-1206.77] 你铁板神术丝丝入扣
[1206.77-1209.07] 六亲关系属相
[1209.07-1210.35] 年龄
[1210.35-1211.63] 包括姓名
[1211.63-1212.65] 全在里面
[1212.65-1213.93] 一万两千句话里
[1213.93-1218.03] 尽在其中
[1218.03-1218.79] 如果你
[1218.79-1223.15] 尽在其中都是但是只有父母或者兄弟不是
[1223.15-1225.97] 我希望你埋下怀疑的种子
[1225.97-1226.99] 怀疑什么
[1226.99-1228.27] 怀疑自己的父母
[1228.27-1230.07] 没有跟自己说实话
[1230.07-1231.35] 你要知道这一点
[1231.35-1233.13] 不要去怨恨父母
[1233.13-1234.15] 要怨恨什么
[1234.15-1236.21] 你他妈上辈子没干好事
[1236.21-1237.49] 你他妈是个坏
[1237.49-1238.51] 太坏了
[1238.51-1240.55] 你这东西你这个DNA
[1240.55-1242.61] 就比如孙他转世的话
[1242.61-1244.39] 孙他这个DNA
[1244.39-1246.45] 转到一个新的肉体里
[1246.45-1247.47] 虽然忘掉所有记忆
[1247.47-1250.03] 但是根上的东西会带过来的
[1250.03-1253.11] 根上的东西就是几个字节能带过来的信息
[1253.15-1254.69] 就是你的底层代码
[1254.69-1256.23] 你是不是自私
[1256.23-1258.27] 你是不是老有私自一闪念
[1258.27-1260.07] 会带过来
[1260.07-1263.13] 那在这个过程中你是不是不稳定是不是自私这种
[1263.13-1264.15] 缺陷基因
[1264.15-1264.93] 你要
[1264.93-1265.69] 自省
[1265.69-1267.23] 要发掘出来
[1267.23-1271.07] 既然你都发现你的东西有些对不上了
[1271.07-1274.65] 那你不要怀疑未来你怀疑过去你他妈自己不是个好东西
[1274.65-1276.45] 那你要深刻的
[1276.45-1282.59] 反省一下是不是我在这个辈子里面我做的某些事或者我的某些行为模式
[1282.59-1283.11] 是有问题的
[1283.91-1285.97] 如果你到了这个程度
[1285.97-1288.79] 你就具备了自己改命的
[1288.79-1290.31] 基础
[1290.31-1291.09] 首先
[1291.09-1293.13] 你开始怀疑了
[1293.13-1297.99] 这是第一个基础你如果你连怀疑都不怀疑你认为一切都是
[1297.99-1300.55] 太阳东升西降啊这种
[1300.55-1304.15] 没有什么可怀疑的东西那你无法改变
[1304.15-1305.93] 因为你真是一个纯纯的
[1305.93-1308.23] 特别称职的NPC
[1308.23-1310.03] 那你这是怀疑了
[1310.03-1312.07] 怀疑之后第二步什么自省
[1312.07-1313.11] 怀疑自省
[1313.91-1315.97] 怀疑之后不要说是我怪你
[1315.97-1317.51] 你为什么瞒我
[1317.51-1320.83] 你为什么年轻的时候堕胎这个事不告诉我
[1320.83-1322.37] 你为什么跟隔壁老汪
[1322.37-1324.67] 呕呕叉叉的时候怀孕怀了我
[1324.67-1326.71] 而我一直以为我爸是我爸
[1326.71-1328.25] 原来是我姓王
[1328.25-1330.55] 这个东西你不要去这样
[1330.55-1331.83] 你要自省
[1331.83-1334.15] 为什么自己出现这种问题
[1334.15-1334.91] 原来
[1334.91-1335.93] 是我在
[1335.93-1338.49] 投胎过程中或者是我在前世
[1338.49-1340.29] 我干了些什么不好的事
[1340.29-1343.11] 因缘际会到了今天有了今天这种
[1343.11-1344.13] 扭曲的
[1344.13-1346.19] 这样一个小小的错误和惩罚
[1346.19-1348.99] 那我为了更完美自己更完善自己
[1348.99-1350.53] 我以后不要这么干了
[1350.53-1351.31] 这个就是
[1351.31-1352.59] 到了基础了
[1352.59-1354.11] 自省了
[1354.11-1355.15] 怀疑自省之后
[1355.15-1356.43] 第三个就是改变
[1356.43-1358.21] 改变都特别痛苦
[1358.21-1359.23] 特别痛苦
[1359.23-1361.29] 因为你不想改变
[1361.29-1363.59] 人就像牛顿定律一样
[1363.59-1365.39] 他都是有惯性的
[1365.39-1368.19] 牛顿告诉我们世间的万事万物
[1368.19-1369.23] 除非遇到外力
[1369.23-1371.53] 他总是想保持静止状态或者
[1371.53-1373.07] 匀速直线运动状态
[1373.07-1375.63] 就保持他以前的运动状态
[1375.63-1377.17] 除非加以外力干涉
[1377.17-1378.95] 人的命运也是这样
[1378.95-1381.01] 如果你想改命的话
[1381.01-1382.03] 除非是
[1382.03-1383.57] 强大的外力推送你
[1383.57-1387.15] 你通过内元性、内生性的动力去改变
[1387.15-1388.95] 这个东西非常痛苦
[1388.95-1392.01] 难度就相当于抓着自己的头发
[1392.01-1393.03] 飞起来
