[0.00-2.88] 哈喽开始直播
[150.42-152.06] 我给你们如是交个交个代
[152.26-154.10] 但是得放在百刀会
[154.10-156.42] 因为这样不能便宜了免费的
[156.42-156.90] 啊
[156.90-159.70] 但是我可以给你们放个
[159.74-160.70] 放一万个心
[160.94-162.02] 宽一万个心
[162.06-162.66] 没问题
[162.86-164.18] 我现在回去都没问题
[164.38-165.38] 我不回去
[165.38-166.62] 是因为我看不惯
[166.78-168.06] 某些人的作风
[168.30-170.02] 某些人是个蠢驴
[170.02-172.50] 然后每天霸占着头条
[172.66-173.94] 我要猖狂攻击他
[173.94-174.62] 所以我不回去
[174.62-176.02] 但不等于我不能回去
[176.18-177.22] 我可以回去的
[180.82-181.42] 没事
[181.66-183.18] 你们看我的
[183.50-184.70] 给我回信
[184.90-186.34] 跟我聊天
[186.34-186.50] 啊
[186.50-186.78] 这个
[186.78-188.06] 都不是事
[188.06-188.38] 啊
[188.38-190.06] 没有到目前为止
[190.06-191.02] 没有任何问题
[191.02-191.54] 啊
[191.54-192.50] 没有任何问题
[192.50-193.06] 好
[193.62-194.46] 嗯
[194.46-195.66] 哈哈哈哈
[195.90-196.70] 嗯
[196.70-197.26] 好嘞
[197.26-199.18] 那我们就今天啊
[199.18-200.10] 你和我别唱
[200.10-200.38] 是呀
[200.38-201.22] 崔山英又来了
[201.22-202.50] 虽然你别乱捣乱了
[202.70-204.06] 就是同一个东西
[204.06-205.38] 同一个那个包袱
[205.38-206.74] 你不能天天甩啊
[206.74-208.34] 开始大家觉得有意思
[208.38-209.02] 后来呢
[209.02-210.42] 大家就觉得你太贫乱
[210.42-212.14] 你知道都知道你是个小年轻
[212.14-212.90] 20岁
[213.10-213.66] 呃
[213.66-214.14] 嗯
[214.14-215.98] 不到你冒充宅神英
[215.98-216.58] 你这个
[216.78-218.26] 一一两次就行了啊
[218.70-219.30] 好啊
[219.30-219.98] 今天哎呦
[219.98-220.34] 操
[220.34-220.90] 哎呦
[220.90-224.02] 是这是两根葱说的好
[224.02-225.58] 今天声音不够红亮啊
[225.58-226.18] 操的
[226.18-227.78] 我麦克风没拿过来
[227.78-229.14] 麦克风在那边呢
[229.14-231.18] 麦麦麦里我有一米远啊
[231.18-231.42] 好了
[231.42-231.66] 好了
[231.66-232.42] 好了啊
[232.62-233.78] 这回行了啊
[233.78-234.46] 好嘞
[235.46-236.10] 好嘞
[236.30-237.22] 今天呢
[237.22-239.54] 呃正是题目之前先送两句剩着
[239.54-239.90] 又
[240.26-242.34] 就与这这这这十万克啊
[242.34-245.66] 这个狗操的跑到他妈的拉萨去享受
[245.66-246.62] 众人欢呼去了
[246.62-248.98] 又他们是脚踩天罡
[248.98-249.30] 呃
[249.30-250.90] 手指地地煞
[250.90-252.86] 我操掐着呃
[252.86-255.54] 亡灵观亡灵观的见觉啊
[255.54-256.14] 大家知道啊
[256.14-257.62] 这是亡灵观的见觉
[257.62-257.94] 哎
[257.94-258.34] 对
[258.98-259.30] 哎
[259.30-260.78] 就是就是这个啊
[260.78-262.46] 这是亡灵观的见觉
[262.46-262.74] 啊
[262.74-264.86] 这是也是我最喜欢的见觉啊
[264.86-265.50] 掐着吗
[265.50-268.06] 亡灵观的记见觉就跑去西藏去了
[268.06-268.74] 操
[268.74-270.66] 一看就还不服吗
[270.66-270.86] 啊
[270.86-271.86] 还不服
[271.86-273.26] 惨
[273.26-275.66] 带着他所有的马仔小弟们
[275.66-276.50] 包括啊
[276.62-280.50] 包括这个退位的这个时候踩了他一脚子
[280.50-281.22] 蔡奇啊
[281.22-283.46] 他蔡易牙都带去了啊
[283.46-285.22] 李干杰都带去了
[285.22-286.30] 嗯
[286.30-288.14] 革命信心不坚定的人民群众就说
[288.14-288.98] 你看啊
[288.98-290.22] 他的大权在握
[290.22-291.54] 他状态特别好啊
[291.54-292.94] 他没有得什么心脏病啊
[292.94-293.46] 什么的
[293.46-294.86] 这会一派胡言
[294.86-295.86] 但是呢
[295.86-298.50] 这个说他怎么着
[298.50-300.58] 就不会退位了啊
[300.58-302.62] 这个不可能啊
[302.62-303.98] 那不可能啊
[303.98-305.06] 那必须退啊
[305.06-306.30] 这就是党内的啊
[306.62-306.94] 哎
[306.94-307.66] 大势已去
[307.66-308.34] 没错
[308.34-310.46] 看来身体不错
[310.46-311.14] 拉他去了
[311.14-311.90] 我都会头疼
[311.90-312.42] 对对对
[312.42-314.18] 他身体也恢复的不错
[314.18-316.02] 嗯
[316.02-317.06] 这个但是呢
[317.06-319.58] 就是他退这个事啊
[319.58-320.86] 他退出这个事啊
[320.86-322.62] 逐渐的退退位这个事
[322.62-324.78] 这是党内既定的政策
[324.78-326.78] 那不是他一个人能翻得了的啊
[326.78-327.86] 这一定了啊
[327.86-329.46] 就是但是呢
[329.46-332.50] 还是要承认他在党内的领导地位啊
[332.50-333.90] 和地和三界啊
[333.90-335.06] 他做三界吗
[335.06-335.50] 呃
[335.50-336.26] 为什么呢
[336.26-336.58] 因为
[336.62-337.62] 在这个问题上啊
[337.62-339.66] 中国共产党是铁板一块的啊
[339.66-341.42] 稳定压倒一切
[341.42-343.70] 中国共产党是非常高饼的一个党啊
[343.70-348.46] 他知道如果要是任何一个风吹草动啊
[348.46-351.42] 导致了他们内部的这种再次争斗的话
[351.42-353.38] 都会产生的这样一个涟漪
[353.38-356.50] 是他们所有的人都无法承受的啊
[356.50-357.26] 好了
[357.26-360.26] 咱们今天呃
[360.26-362.58] 开始啥时候退
[362.58-364.98] 就是下一届就不干了啊
[364.98-366.26] 21大
[366.26-367.50] 嗯
[367.50-369.18] 就就就换届了啊
[369.18-370.06] 好嘞
[370.06-372.02] 我们呃为什么呢
[372.02-374.18] 就是他是经济上已经不管了啊
[374.18-376.46] 现在经济政策不是他管
[376.46-380.38] 所以你能看到很多呃经济复苏啊啊
[380.38-381.54] 改开放啊
[381.54-383.86] 呃再次改革开放啊
[383.86-387.90] 包括呃上海一带的复苏啊啊
[387.90-390.30] 政府的这种不再揽证了
[391.94-393.06] 不再带证了啊
[393.06-395.38] 这个上海长江三角洲
[395.38-397.26] 尤尤其是长三角
[397.26-400.54] 呃因为李强在这里边扮演了个非常重要的角色啊
[400.54-404.62] 在过渡时期的李强是个非常重要的角色啊
[404.62-405.82] 王叔满面红光
[405.82-406.58] 谢谢你啊
[406.58-407.10] 这是谁
[407.10-407.78] HHY
[407.78-408.62] 祝你发大财
[408.62-409.30] 幸福愉快
[409.30-410.66] 生日快乐
[410.66-411.62] 退了能活吗
[411.62-413.10] 能活能活啊
[413.10-413.50] 嗯
[413.50-416.78] 就是至少目前为止大家没有说不让他活啊
[416.78-418.10] 这个而且呢
[418.10-420.82] 他要把王小红虽然下去
[420.82-423.38] 但是接王小红的是齐燕君还是他的人啊
[423.38-425.26] 就是关键岗位还是用他的人啊
[425.38-426.58] 好了
[426.58-428.74] 咱们今天不聊他了啊
[428.74-429.58] 不送圣了
[429.58-434.82] 咱们聊聊咱们的这个呃会员的百态人生啊
[434.82-438.38] 今天我们的这个信箱的百态人生特有意思啊
[438.38-439.90] 以姓氏为主啊
[439.90-443.46] 还当然开始是儿童子女儿童子女的事
[443.46-445.34] 我总永远放在第一位呢啊
[445.34-449.30] 所以这个呃很有意思啊
[449.30-450.54] 附上照片啊
[450.54-453.34] 这个都是附着照片的啊
[453.34-455.34] 现在我回的信都呃念的信
[455.38-456.58] 都是附着照片的
[456.58-456.98] 好嘞
[456.98-460.66] 重要问题咨询啊
[460.66-462.50] 首先是长知识的
[462.50-463.22] 大家听好了
[463.22-465.22] 这是长知识的一封信
[466.22-466.98] 呃
[466.98-470.38] 会遇遇到很多你们不知道的这种呃
[470.38-471.54] 知识点啊
[471.54-472.94] 但是我跟你们讲啊
[472.94-474.78] 掰开揉碎给你讲清楚一一句话
[474.78-476.14] 直指核心啊
[476.14-476.86] 王叔您好
[476.86-478.50] 关注您一年多了
[478.50-481.06] 也向身边很多人推荐了您的频道
[481.06-483.58] 我一向独立思维能力特强啊
[483.58-485.26] 自己做事都自己决定啊
[485.26-485.38] 呦
[485.38-487.06] 我判断有分寸
[487.06-489.10] 有章程从不耙耳朵
[489.10-490.62] 但是今天有一事儿呢
[490.62-491.46] 实在是完了
[491.46-492.22] 玩犊子了
[492.22-493.46] 拿不定主意了啊
[493.46-494.98] 赶紧过来给您写信
[494.98-496.18] 向您请教
[496.18-497.10] 因为涉及孩子
[497.10-498.58] 所以我闭念啊
[498.58-500.70] 我小孩是在美国出生的
[500.70-503.02] 和很多美国宝宝家长一样啊
[503.02-503.74] 大家知道
[503.74-507.50] 有钱有权的孩子都在美国出生啊
[507.50-510.54] 但是我问过了很多
[510.54-512.38] 其极其专业的人士
[512.38-513.38] 包括包括律师
[513.38-514.94] 包括其他的美宝父母
[514.94-516.30] 包括中介
[516.30-519.62] 他们始终搞不明白这样类型的美国美国宝宝啊
[519.62-522.14] 就是他是中国人
[522.14-523.22] 拿旅游签证也好
[523.22-523.62] 什么呢
[523.62-526.10] 大家知道在旧金山呀
[526.10-527.26] 西雅图啊
[527.26-530.02] 包括温哥华都有好多月子中心啊
[530.02-532.74] 就是北京遇上西雅图汤唯那部电影
[532.74-534.42] 吴秀博拍的就这种情况
[534.42-535.06] 哎
[535.06-538.62] 大家知道那个中青后三个私生子啊
[538.62-540.54] 宗父丽的孩子都是这样的情况
[540.54-541.94] 就是美宝父母
[541.94-544.02] 他们本人是中国国籍啊
[544.02-544.46] 但是呢
[544.46-544.82] 他们拿到美国
[544.82-546.42] 签证或者绿卡之后
[546.42-547.66] 他们在这儿生了孩子
[547.66-549.86] 这个孩子拿到是美国出生纸
[549.86-552.18] 美国出生纸拿到加拿大出生纸拿到
[552.18-553.86] 他天然就是美国国籍
[553.86-554.90] 大家知道这种情况啊
[554.90-556.94] 他就问这种情况怎么办
[556.94-557.38] 他说哎
[557.38-558.38] 这有什么怎么办
[558.38-560.90] 听好有怎么办的问题很严重
[560.90-564.22] 而且那这种情况的宝宝
[564.22-566.74] 大家知道一般长到半岁一岁的时候
[566.74-568.10] 还得要回国的
[568.10-569.70] 那回国看看老人呀
[569.70-571.94] 甚至有的时候回国就老人带着了
[571.94-574.34] 那么回国到底是办旅行证
[574.34-575.58] 还是中国签证
[575.58-576.58] 这就是他的问题
[576.58-578.82] 什么叫旅行证呢
[578.82-583.22] 旅行证就是中国侨民在海外
[583.22-585.62] 比如说加拿大和美国啊
[585.62-586.46] 生了一个小孩
[586.46-589.26] 然后拿到了当地的出生纸
[589.26-592.26] 那那按照所在出生国的这个政策
[592.26-592.90] 呃
[592.90-594.10] 如果是美国或加拿大
[594.10-595.98] 他就出生就是美国或加拿大人
[595.98-597.06] 但是呢
[597.06-598.90] 他又不想放弃中国国籍
[598.90-601.74] 而中国又不承认双重国籍
[601.74-603.06] 那这个宝宝怎么办呢
[603.06-604.32] 这个宝宝就可以出生了
[604.34-610.34] 你去所在地的中国领事馆或者中国大使馆去申请一张回乡证啊
[610.34-611.30] 就是呃
[611.30-615.14] 中国公民没有护照的中国公民啊
[615.14-616.34] 你回国怎么办
[616.34-618.42] 就是这个叫回乡证
[618.42-619.76] 又叫旅行证啊
[619.76-621.26] 回国旅行证
[621.26-623.54] 那这是我我孩子不放弃
[623.54-624.74] 我还当中国人
[624.74-626.30] 我虽然能当美国人
[626.30-627.98] 但我还是要当中国人啊
[627.98-629.06] 就办旅行证
[629.06-631.10] 拿着旅行证可以顺利的上飞机
[631.10-634.10] 入中国海关北京海关拿着旅行证和出生证
[634.10-637.04] 在中国可以上户口
[637.04-638.78] 就成了一个正儿八经的中国人
[638.78-641.98] 将来就是中国人上中国户口了
[641.98-642.92] 呃拿出北京
[642.92-644.24] 比如说你是北京人的话
[644.24-645.50] 就是父母都是北京人
[645.50-646.86] 那就是啊
[646.86-648.02] 北京户口
[648.02-650.46] 然后是护照上海人就上海户口
[650.46-651.32] 明白吗
[651.32-652.20] 还有一种情况
[652.20-653.56] 这是A还有一种情况
[653.56-656.34] 就是去中国大使馆办理签证
[656.34-659.76] 孩子拿出生纸换了美国护照以后
[659.76-662.78] 拿美国加拿大护照去领事馆大使馆
[662.78-667.04] 中国领事馆大使馆办外国人去中国的签证啊
[667.04-670.70] 这就是告诉中国政府我不当中国人了啊
[670.70-671.68] 我是外国人啊
[671.68-672.96] 这就是中国签证
[672.96-677.42] 那么旅行证回国以后办了北京户口办了北京护照
[677.42-679.30] 那是老王那不还有个美国护照
[679.30-682.40] 中国不承认孩子长到18岁
[682.40-684.56] 孩子自己决定是当哪个人
[684.56-686.40] 这是中国给的政策啊
[686.40-691.04] 也就是说18岁以下的中国公民是可以双重国籍
[691.04-694.22] 18岁以上过了18岁生日
[694.22-696.30] 按照目前的中国的法律
[696.30-698.20] 你这个孩子必须要二选一
[698.20-700.14] 你要么美国人要么中国人
[700.14-701.34] 那不对啊
[701.34-701.90] 那谷爱玲
[701.90-703.46] 不要提这个啊
[703.46-703.98] 不要提这个
[703.98-706.00] 不要跟我提谷爱玲
[706.00-707.60] 不要跟我提姓习的啊
[707.60-708.76] 这个这个
[708.76-712.50] 他们不是老百姓啊
[712.50-714.38] 我们说的是老百姓啊
[714.38-714.74] 你好
[714.74-716.30] 你能跟谷爱玲比吗
[716.30-718.86] 谷爱玲能拿他们五块奥运金牌
[718.86-719.34] 你能吗
[719.34-720.94] 所以其实
[721.04-723.42] 大使馆有官方回复
[723.42-724.78] 网站上也写得很清楚
[724.78-726.82] 什么情况你办旅行证
[726.82-728.34] 什么情况你去办签证
[728.34-732.48] 但经过我深度挖掘我们国家的国籍法
[732.48-734.42] 这里边的问题是有漏洞的
[734.42-735.52] 有冲突的
[735.52-736.78] 他说的也很对
[736.78-738.20] 就是我们中国的国籍法
[738.20-739.74] 国籍法不成熟
[739.74-741.04] 这里边有大大的漏洞
[741.04-743.98] 那么当然中国的法律解释权
[743.98-745.92] 一向在司法机关手里
[745.92-747.22] 大使馆叫你办什么
[747.22-748.16] 你就得办什么
[748.16-749.62] 我想咨询的问题是
[749.62-751.02] 我该不该让孩子
[751.04-755.12] 放弃注销旅行证
[755.12-757.72] 很多美宝父母可能不理解我
[757.72-759.68] 他们想尽一切办法
[759.68-762.52] 希望给孩子保留双重身份
[762.52-763.84] 出于不同的原因
[763.84-765.72] 有人想套利
[765.72-767.70] 占尽两边的福利
[767.70-770.12] 有人想双保险
[770.12-772.42] 还有些人根本不懂这里边的区别
[772.42-773.52] 只是随大溜
[773.52-775.94] 因为大部分人都是办了旅行证回去的
[775.94-777.08] 大部分人
[777.08-778.10] 包括我们加拿大
[778.10-780.62] 大部分这种宝宝都是双重国籍
[781.04-783.70] 而我希望注销掉孩子旅行证
[783.70-785.54] 注销中国国籍
[785.54-787.52] 不要再与中国有任何牵扯
[787.52-789.92] 哪怕以后可能会有一段时间
[789.92-791.20] 孩子生活在中国
[791.20-792.74] 也以纯外国人的身份
[792.74-794.12] 按时办理签证
[794.12-796.28] 以外国人在中国居留的身份办理
[796.28-798.20] 这是他们家的想法啊
[798.20-799.64] 不知王叔有何高见
[799.64-801.22] 希望得到您的邮件回复
[801.22-801.82] 谢谢啊
[801.82-802.34] 对不起啊
[802.34-804.08] 我一般不回邮件啊
[804.08-805.52] 除非特殊情况
[805.52-806.56] 祝您何家幸福
[806.56-807.50] 快乐快乐
[807.50-809.28] 这个事呢啊
[809.28-810.02] 这是叫什么呢
[810.02-810.88] 小马过河
[810.88-811.42] 啊
[811.42-814.24] 每一个人都有自己的选择啊
[814.24-816.38] 每一个人都有自己的原因啊
[816.38-818.02] 你呃
[818.02-819.34] 我就我身边人来呀
[819.34-822.64] 那大部分人都是保留双重国籍啊
[822.64-825.04] 回去的都保留双重国籍
[825.04-827.62] 那么作为你要问我
[827.62-829.90] 那我只能说我的观点啊
[829.90-831.22] 但我不代表所有的人
[832.58-834.72] 我的观点是啊
[834.72-837.78] 这个你就问我们家就行了啊
[837.78-840.56] 我们家就是可以是办双重国籍的
[840.56-840.82] 但是
[840.82-846.35] 我们家所有的宝宝全部都是根本不办旅行证
[846.35-849.49] 直接拿加拿大护照去中国领事馆
[849.49-852.53] 温哥华领事馆办理中国旅游签证
[852.53-853.63] 中国探亲签证
[854.95-856.39] 定期更新他们的签证
[856.39-857.85] 他们想回国啊
[857.85-860.95] 看家人看亲属参观中国的名声古迹
[860.95-862.41] 纯以外国人的身份回去
[863.57-867.27] 所以一万个解释都不如自己现身说法
[867.27-869.29] 就我们家为什么这么干
[869.29-872.03] 说为什么不要着我们家是北京户口啊
[872.03-873.95] 为什么不要着北京户口
[873.95-875.35] 北京户口这么值钱
[875.35-877.07] 老王为什么说扔就全扔了
[877.07-879.11] 我告诉你啊
[879.11-881.81] 这个世界上没有两头占的便宜啊
[881.81-884.99] 没有两头都能站着粘的空子
[886.01-889.85] 职业钻空子叫职业钻空师
[889.85-892.37] 以本身也是一种职业的啊
[892.37-895.91] 你要是真的想把美国中国两边东西都站好
[895.91-897.71] 那你得是职业装装控室
[897.71-899.65] 就你们家基本上有一个人啊
[899.65-901.63] 不上班只只研究这些东西吗
[901.63-902.47] 国籍法啊
[902.47-903.37] 什么福利啊
[903.37-904.45] 什么税务啊
[904.45-906.19] 将来中国越来越发达
[906.19-908.77] 将来中国越来越西方化
[908.77-911.17] 他要收什么海外征税
[911.17-914.71] 你最后就变成一个职业钻空师
[914.71-917.77] 最后的结果你会发现他妈的就你最傻
[917.77-921.19] 那你要是说做业余钻空师就跟着隋大六
[921.19-923.07] 我告诉你没有一个好下场
[923.07-924.13] 我身边啊
[924.13-927.19] 我身边就有就有天龙人的后代
[927.19-930.01] 现在妈妈回不来
[930.01-930.67] 什么意思呢
[930.67-931.45] 就是孩子呢
[931.63-932.23] 问题啊
[932.23-934.03] 他他当然是加拿大出生
[934.03-935.97] 美国出生拿到蓝本护照
[935.97-937.87] 然后办了回乡证啊
[937.87-938.99] 藏着蓝本护照
[938.99-940.75] 办了回乡证就是旅行证
[940.75-942.15] 回中国又上了户口
[942.15-944.71] 办了中国的户口
[944.71-945.39] 然后呢
[945.39-946.03] 现在呢
[946.03-947.23] 孩子长大了
[947.23-949.15] 想回来上学了啊
[949.15-950.47] 要回来上中学了
[951.79-953.17] 然后母亲呢
[953.17-953.71] 父亲呢
[953.71-954.61] 就想陪读
[954.61-958.09] 当年都是有十年期旅行签证旅游签证的
[958.09-959.95] 现在加拿大旅游签证不给他批
[960.91-961.39] 然后去
[961.63-963.13] 旅行美签美签也不给批
[963.13-964.03] 因为中美关系
[964.03-966.13] 中加关系不好
[966.13-967.13] 也不说过
[967.13-968.43] 也不说不过
[968.43-970.39] 就是就给你放那儿
[970.39-971.71] 就给愣在那儿
[971.71-973.15] 那他就结果他就惨了
[973.15-974.59] 孩子没问题可以回来
[974.59-977.65] 那你说一个七八岁的孩子自己回来上学
[977.65-978.79] 谁放心啊
[978.79-980.45] 没有父亲母亲跟着陪读
[980.45-980.95] 谁放心
[980.95-983.25] 那陪读你拿不到拿不到签证
[983.25-986.39] 这就是你钻不钻不进去空子啊
[986.39-987.55] 所以呢
[987.55-990.01] 你要问我的建议啊
[990.01-991.39] 我同意你的观点
[991.39-993.01] 就是不要钻空子
[993.01-995.15] 这个世界甘蔗没有两头田啊
[995.15-997.03] 不要做那个职业钻空师啊
[997.03-998.59] 就是你扪心自问
[998.59-1001.25] 你想让孩子当中国人还是加拿大人
[1002.69-1003.81] 你想明白了
[1003.81-1006.91] 然后你就让他成为一个中国人或者加拿大人
[1006.91-1009.51] 职业钻空师之间没有想到的一个事儿
[1009.51-1012.09] 就是这孩子最后自己定不了位
[1012.09-1014.35] 就你他妈给孩子拿了双重国际
[1014.35-1016.71] 想让人家当美国人或者加拿大人
[1016.71-1018.75] 然后你又从小给上了北京户口
[1018.75-1019.89] 而在北京长大
[1019.89-1021.07] 这样的孩子长大的
[1021.07-1022.15] 没有一个能
[1022.15-1024.13] 虽然他们是蓝本护照
[1024.13-1026.53] 没有一个最后能找到自我
[1026.53-1029.11] 我看这些孩子最后就全回国了
[1029.11-1029.31] 哎
[1029.31-1031.25] 本来想挺好的将来孩子长大了
[1031.25-1033.77] 在这边上的上大学多好啊
[1033.77-1034.89] 忌讳中文啊
[1034.89-1036.07] 过过关的中文
[1036.07-1037.99] 然后又能将来是个外国人啊
[1037.99-1040.11] 就能享受加拿大的福利
[1040.11-1042.79] 什么享受美国的这个什么世界霸权啊
[1042.79-1043.27] 多爽
[1043.27-1045.91] 然后最后孩子找不着自我啊
[1045.91-1047.05] 就没有工作
[1047.05-1048.55] 大学毕业找不着工作
[1048.55-1050.05] 在这边也没有圈子
[1050.05-1050.41] 圈子
[1050.41-1051.05] 全是小留学生
[1051.07-1052.49] 因为跟他有共同语言
[1052.49-1053.77] 他把自己当中国人了嘛
[1053.77-1056.31] 然后就最后就是回国去了
[1056.31-1059.53] 回国现在玩独子了
[1059.53-1062.07] 因为中国你没有在中国接受系统教育啊
[1062.07-1065.67] 你拿着一个什么二流的加拿大的大学
[1065.67-1067.15] 美国大学或者不入流的
[1067.15-1068.27] 因为不好好学嘛
[1068.27-1071.05] 中国现在也不是是个大学都认了
[1071.05-1072.39] 你开几把国际玩笑
[1072.39-1073.23] 你不是MIT
[1073.23-1074.67] 不是多伦多大学
[1074.67-1076.89] 你在中国晃什么晃啊
[1076.89-1077.79] 中国人不认的
[1077.79-1080.11] 所以中国人现在不是过去了
[1080.11-1081.05] 是个什么野鸡的大学
[1081.07-1082.63] 大学都认的啊
[1082.63-1084.55] 所以这个事就是我的观点啊
[1084.55-1086.65] 大老王够够直接吧啊
[1086.65-1089.59] 就是两头选一个啊
[1089.59-1090.55] 大老王您好
[1090.55-1091.87] 我是多伦多教友
[1091.87-1093.31] 对您景仰依旧
[1093.31-1094.57] 每天伴随您的声音
[1094.57-1096.17] 开车回家做饭
[1096.17-1097.45] 做家务及睡觉
[1097.45-1099.37] 先祝您家人幸福安康
[1099.37-1102.57] 此次紧急来信是因为有一位道人啊
[1102.57-1105.49] 道门中人拿我的八字算我儿子会有劫难
[1105.49-1106.51] 或我儿子五岁
[1107.77-1109.87] 我有可能是白发人送黑发人
[1109.87-1111.03] 而且六亲缘浅
[1111.07-1112.21] 无法破
[1112.21-1114.19] 此事要从去年九月说起
[1114.19-1118.27] 我爸当时心梗突然离世了啊
[1118.27-1118.95] 国内的吗
[1118.95-1121.39] 他爸肯定在我们国内的打那个疫苗之后
[1121.39-1122.95] 心梗现在特别多
[1122.95-1124.83] 父亲他父亲照片我看了没多大
[1124.83-1125.77] 所以六十多岁吧
[1125.77-1127.51] 应该不到七十啊
[1127.51-1129.31] 亲个心梗突然离世
[1129.31-1130.03] 二十天后
[1130.03-1132.79] 我十八岁的弟弟跳楼自杀啊
[1132.79-1134.97] 全家照片我看了你弟弟有问题
[1134.97-1136.41] 你弟弟精神不正常啊
[1136.41-1140.65] 你弟弟你弟弟的眼神一看就是个精神病的状态啊
[1140.65-1141.05] 如果要是
[1141.07-1142.27] 呃
[1142.27-1145.15] 敏感的人的话早就给你弟弟进行精神治疗了
[1145.15-1147.37] 估计你们家这个事也不是特别重视
[1147.37-1150.69] 所以你弟弟就是肯定是一个长期的抑郁压抑状态啊
[1150.69-1152.87] 所以再加你父亲去世
[1152.87-1154.93] 他就他又是十八岁啊
[1154.93-1157.15] 这个这个这里边有呃
[1157.15-1158.23] 有问题的啊
[1158.23-1160.07] 因为你父亲六十多岁啊
[1160.07-1165.43] 你母亲看样子也是也得是六十了吧
[1165.43-1166.75] 弟弟十八那这事
[1169.01-1170.47] 你跟你弟弟的年龄差
[1170.47-1171.05] 好像很大
[1171.07-1172.57] 哦十岁以上的年龄差
[1172.57-1174.61] 所以这个是弟弟哎
[1174.61-1176.17] 你可能有问题啊
[1176.17-1178.27] 就是要么是抱来的呀
[1178.27-1182.05] 呃要么是就是他的这个先天啊啊
[1182.05-1185.47] 他的灵气和肉身啊发育不足啊
[1185.47-1188.35] 这这这这个问题很很明显啊
[1188.35-1190.47] 一看照片不用看八字啊
[1190.47-1192.57] 呃突然一家四口变两口
[1192.57-1194.23] 我和我妈都抑郁成疾
[1194.23-1198.55] 那那个正常人都扛都扛一队当初心碎至极
[1198.55-1201.49] 还给你写过信问将来如何生活啊
[1201.49-1205.03] 这一年慢慢恢复一切都在向好的方向发展
[1205.03-1207.31] 但是对于借我妈来加拿大养老
[1207.31-1210.55] 我不确定对他好还是不好
[1210.55-1212.77] 那就把八字给了我啊
[1212.77-1214.45] 关注很久的啊
[1214.45-1215.67] 觉得就算道行不高
[1215.67-1218.47] 也真的是道门中人的这么一位先生哎
[1218.47-1218.95] 看看
[1218.95-1221.47] 因为他妈妈现在在中国肯定压力大
[1221.47-1222.75] 而小儿子跳楼了
[1222.75-1223.33] 十八岁
